Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,RbtID,GripperStat,DO1,DO2,DO3,DO4,X,Y,Z,Q_X,Q_Y,Q_Z,Q_W
100.9601,-80.56217,81.42347,89.13869,89.99997,-126.8599,0,0,0,0,0,0,1.3, 4.1, 3.5,0.0, -1.0, 0.0, 0.0,
100.9601,-80.56217,81.42347,89.13869,89.99997,-126.8599,0,0,0,0,0,0,1.3, 4.1, 3.5,0.0, -1.0, 0.0, 0.0,
100.3071,-67.86741,101.1574,56.70998,90.00002,-127.5128,0,0,0,0,0,0,1.5, 1.8, 3.7,0.0, -1.0, 0.0, 0.0,
100.3071,-67.86741,101.1574,56.70998,90.00002,-127.5128,0,0,0,0,0,0,1.5, 1.8, 3.7,0.0, -1.0, 0.0, 0.0,
70.7896,-47.358,45.31998,92.03801,90.00001,-157.0304,0,0,0,0,0,0,4.9, 3.3, 3.2,0.0, -1.0, 0.0, 0.0,
