Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,RbtID,GripperStat,DO1,DO2,DO3,DO4,X,Y,Z,Q_X,Q_Y,Q_Z,Q_W
-19.85997,-96.29726,108.6323,77.66492,90,112.32,0,0,0,0,0,0,1.9, 3.4, -1.8,0.0, -1.0, 0.0, 0.0,
102.565,-80.58545,113.1702,57.41519,89.99998,-125.255,0,0,0,0,0,0,0.9, 2.1, 3.1,0.0, -1.0, 0.0, 0.0,
-36.43084,-70.56936,118.7526,41.81672,90,95.74916,0,0,0,0,0,0,1.4, 1.1, -2.9,0.0, -1.0, 0.0, 0.0,
-35.6605,-47.68319,120.8682,101.9747,92.89343,90.20511,0,0,0,0,0,0,1.4, 1.1, -2.9,0.1, -0.7, 0.0, 0.7,
-14.37852,-61.94562,0,-123.1469,71.68953,92.05371,0,0,0,0,0,0,2.7, 9.4, -2.2,0.1, -0.7, 0.0, 0.7,
13.30619,-119.269,85.80921,-153.4893,44.14821,95.44814,0,0,0,0,0,0,1.4, 7.5, 1.1,0.1, -0.7, 0.0, 0.7,
