Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,RbtID,GripperStat,DO1,DO2,DO3,DO4,X,Y,Z,Q_X,Q_Y,Q_Z,Q_W
100.9601,-80.56217,81.42347,89.13869,89.99997,-126.8599,0,0,0,0,0,0,1.3, 4.1, 3.5,0.0, -1.0, 0.0, 0.0,
100.9601,-80.56217,81.42347,89.13869,89.99997,-126.8599,0,0,0,0,0,0,1.3, 4.1, 3.5,0.0, -1.0, 0.0, 0.0,
100.9601,-80.56217,81.42347,89.13869,89.99997,-126.8599,0,0,0,0,0,0,1.3, 4.1, 3.5,0.0, -1.0, 0.0, 0.0,
100.9601,-80.56217,81.42347,89.13869,89.99997,-126.8599,0,0,0,0,0,0,1.3, 4.1, 3.5,0.0, -1.0, 0.0, 0.0,
100.9601,-80.56217,81.42347,89.13869,89.99997,-126.8599,0,0,0,0,0,0,1.3, 4.1, 3.5,0.0, -1.0, 0.0, 0.0,
14.38943,-75.98324,107.7968,58.1864,90.00001,146.5694,0,0,0,0,0,0,3.4, 2.1, -1.0,0.0, -1.0, 0.0, 0.0,
70.2065,-62.54696,56.86766,95.67929,90.00002,-157.6135,0,0,0,0,0,0,4.1, 4.2, 2.8,0.0, -1.0, 0.0, 0.0,
70.2065,-62.54696,56.86766,95.67929,90.00002,-157.6135,0,0,0,0,0,0,4.1, 4.2, 2.8,0.0, -1.0, 0.0, 0.0,
46.52072,-89.48098,103.1381,76.34288,90.00001,178.7007,0,0,0,0,0,0,2.9, 3.3, 1.0,0.0, -1.0, 0.0, 0.0,
