Jnt_1,Jnt_2,Jnt_3,Jnt_4,Jnt_5,Jnt_6,Robot_ID,Gripper_status,DO1,DO2,DO3,DO4,Bypass_active?,Chng_Rbots,X,Y,Z,Q_X,Q_Y,Q_Z,Q_W,Mouse_pos_X,Mouse_pos_Y,Screen_mode,Button_active
150.2068,-66.88358,63.59967,3.283917,60.20682,-90,0,0,0,1,1,1,0,0,1.8, 4.0, 6.1,0.0, -0.7, 0.0, 0.7,1220.761,456.4706,portrait,Slider4
132.5081,-95.96626,97.33241,-1.366154,42.50809,-90,0,0,0,1,1,1,0,0,1.8, 4.0, 3.7,0.0, -0.7, 0.0, 0.7,1267.82,1801.799,portrait,Slider4
56.87559,-121.0867,141.9848,159.1019,33.12441,89.99999,0,0,0,1,1,1,0,0,1.8, 4.0, 0.7,0.0, -0.7, 0.0, 0.7,1328.72,2233.633,portrait,Slider5
31.31191,-116.0972,139.791,156.3063,58.68809,90,0,0,0,1,1,1,0,0,1.8, 4.0, 0.1,0.0, -0.7, 0.0, 0.7,1309.343,1815.64,portrait,Slider4
116.6968,-108.1906,106.7902,1.400387,26.69679,-89.99999,0,0,0,1,1,1,0,0,1.8, 4.0, 3.1,0.0, -0.7, 0.0, 0.7,1306.574,1353.356,portrait,Slider4
144.0099,-80.64474,81.52137,-0.8766341,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 4.0, 5.1,0.0, -0.7, 0.0, 0.7,1312.111,1109.758,portrait,Slider4
144.0099,-80.64474,81.52137,-0.8766341,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 4.0, 5.1,0.0, -0.7, 0.0, 0.7,1140.484,915.9861,portrait,
144.0099,-80.64474,81.52137,-0.8766341,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 4.0, 5.1,0.0, -0.7, 0.0, 0.7,1082.353,846.782,portrait,
144.0099,-80.64474,81.52137,-0.8766341,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 4.1, 5.1,0.0, -0.7, 0.0, 0.7,1062.976,846.782,portrait,Slider3
144.0099,-79.67371,68.72295,10.95076,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 2.9, 5.1,0.0, -0.7, 0.0, 0.7,1087.889,688.9965,portrait,Slider3
144.0099,-76.38058,53.43549,22.94507,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 5.5, 5.1,0.0, -0.7, 0.0, 0.7,1165.398,1054.394,portrait,Slider3
144.0099,-80.64835,80.07779,0.5705653,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 4.4, 5.1,0.0, -0.7, 0.0, 0.7,1223.529,893.8408,portrait,Slider3
144.0099,-80.45071,75.49611,4.954599,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 4.4, 5.1,0.0, -0.7, 0.0, 0.7,1201.384,82.76825,portrait,Slider3
144.0099,-80.45071,75.49611,4.954599,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 4.4, 5.1,0.0, -0.7, 0.0, 0.7,1220.761,160.2769,portrait,
144.0099,-80.45071,75.49611,4.954599,54.00991,-90,0,1,0,1,1,1,0,0,1.8, 4.4, 5.1,0.0, -0.7, 0.0, 0.7,1220.761,160.2769,portrait,Open/Close Gripper
144.0099,-80.45071,75.49611,4.954599,54.00991,-90,0,1,0,1,1,1,0,0,1.8, 4.4, 5.1,0.0, -0.7, 0.0, 0.7,1220.761,160.2769,portrait,Open/Close Gripper
144.0099,-80.45071,75.49611,4.954599,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 4.4, 5.1,0.0, -0.7, 0.0, 0.7,1220.761,160.2769,portrait,
144.0099,-80.45071,75.49611,4.954599,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 4.4, 5.1,0.0, -0.7, 0.0, 0.7,1123.875,996.2629,portrait,
144.0099,-80.45071,75.49611,4.954599,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 4.4, 5.1,0.0, -0.7, 0.0, 0.7,1093.426,1029.481,portrait,
144.0099,-80.45071,75.49611,4.954599,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 4.4, 5.1,0.0, -0.7, 0.0, 0.7,1043.599,1032.249,portrait,
144.0099,-80.29365,86.91225,-6.618597,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 3.6, 5.1,0.0, -0.7, 0.0, 0.7,1071.28,921.5225,portrait,Slider3
144.0099,-78.25608,95.41718,-17.1611,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 2.9, 5.1,0.0, -0.7, 0.0, 0.7,1079.585,816.3322,portrait,Slider3
144.0099,-78.09512,95.8256,-17.73048,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 2.9, 5.1,0.0, -0.7, 0.0, 0.7,1079.585,813.564,portrait,Slider3
144.0099,-78.09512,95.8256,-17.73048,54.00991,-90,0,0,0,1,1,1,0,0,1.8, 2.9, 5.1,0.0, -0.7, 0.0, 0.7,1065.744,932.5952,portrait,
146.7596,-73.10459,89.42912,-16.32453,56.75962,-90,0,0,0,1,1,1,0,0,1.8, 2.9, 5.7,0.0, -0.7, 0.0, 0.7,1104.498,866.1592,portrait,Slider4
153.0282,-57.24316,66.19136,-8.948195,63.02831,-90,0,0,0,1,1,1,0,0,1.8, 2.9, 6.7,0.0, -0.7, 0.0, 0.7,1151.557,724.9827,portrait,Slider4
138.9876,-85.5471,104.4868,-18.93975,48.98756,-90,0,0,0,1,1,1,0,0,1.8, 2.9, 4.3,0.0, -0.7, 0.0, 0.7,1129.412,1278.616,portrait,Slider4
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, -0.7, 0.0, 0.7,1137.716,1455.778,portrait,Slider5
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, -0.7, 0.0, 0.7,542.5606,1898.685,portrait,
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, -0.7, 0.0, 0.7,393.0796,2258.547,portrait,
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, -0.7, 0.0, 0.7,384.7751,2430.173,portrait,
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, -0.7, 0.0, 0.7,434.6021,2421.868,portrait,
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, -0.7, 0.0, 0.7,434.6021,2421.868,portrait,
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, -0.7, 0.0, 0.7,406.9204,2369.273,portrait,Enable or Disable Main Menu Button
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, -0.7, 0.0, 0.7,387.5433,1632.941,portrait,
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, -0.7, 0.0, 0.7,337.7163,1707.682,portrait,Switch orbit to axis mode
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, -0.7, 0.0, 0.7,323.8755,2344.36,portrait,
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, -0.7, 0.0, 0.7,334.9481,2435.709,portrait,
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, -0.7, 0.0, 0.7,409.6886,2352.664,portrait,Enable or Disable Main Menu Button
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, -0.7, 0.0, 0.7,1065.744,813.564,portrait,
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, -0.7, 0.0, 0.7,1148.789,724.9827,portrait,
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, -0.7, 0.0, 0.7,1148.789,711.1418,portrait,
91.45592,-131.69,148.9539,-99.06434,10.10445,-8.326958,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.6, 0.0, -0.8,1173.702,1256.471,portrait,Slider5
93.24742,-128.8945,151.4651,-105.3196,24.20585,-7.941395,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.5, 0.0, -0.8,1173.702,1497.301,portrait,Slider5
91.93421,-130.7823,150.0642,-102.1025,15.12138,-7.434067,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.6, 0.0, -0.8,1209.689,603.1834,portrait,Slider5
91.06921,-117.9809,129.5874,-11.60645,1.06936,-89.99995,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.7, 0.0, -0.7,1217.993,-501.3148,portrait,Slider5
91.82375,-98.78845,127.1551,54.35921,14.11606,-172.502,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.8, 0.0, -0.6,1209.689,-1627.958,portrait,Slider5
92.59441,-99.1692,126.1543,55.92563,20.16074,-172.4532,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.8, 0.0, -0.6,1187.543,-1780.207,portrait,Slider5
92.59441,-99.1692,126.1543,55.92563,20.16074,-172.4532,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.8, 0.0, -0.6,966.09,-1780.207,portrait,
92.59441,-99.1692,126.1543,55.92563,20.16074,-172.4532,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.8, 0.0, -0.6,1060.208,-1160.138,portrait,
92.59441,-99.1692,126.1543,55.92563,20.16074,-172.4532,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.8, 0.0, -0.6,1021.453,974.1176,portrait,
92.59441,-99.1692,126.1543,55.92563,20.16074,-172.4532,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.8, 0.0, -0.6,1082.353,1026.713,portrait,
92.59441,-99.1692,126.1543,55.92563,20.16074,-172.4532,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.8, 0.0, -0.6,1137.716,1026.713,portrait,
