Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55796672, 21432184.899621, 0.000286, 0.000834, 0.000046, 0.000075
55796673, 21432194.593263, 0.000195, 0.000882, 0.000049, 0.000095
55796674, 21432200.254338, 0.000184, 0.000825, 0.000045, 0.000072
55796675, 21432208.607944, 0.000162, 0.000807, 0.000042, 0.000065
55796676, 21432217.017810, 0.000152, 0.000800, 0.000043, 0.000073
55796677, 21432225.418614, 0.000430, 0.000770, 0.000043, 0.000077
55796678, 21432233.914946, 0.000189, 0.000822, 0.000047, 0.000081
55796679, 21432242.236458, 0.000190, 0.000833, 0.000048, 0.000083
55796680, 21432253.623174, 0.000453, 0.001021, 0.000047, 0.000080
55796681, 21432258.922526, 0.000154, 0.000795, 0.000045, 0.000071
55796682, 21432271.191650, 0.000157, 0.000720, 0.000042, 0.000070
55796683, 21432276.119084, 0.000416, 0.000862, 0.000045, 0.000075
55796684, 21432284.638449, 0.000359, 0.000811, 0.000047, 0.000078
55796685, 21432292.005813, 0.000197, 0.000843, 0.000048, 0.000084
55796686, 21432301.477059, 0.000462, 0.000893, 0.000046, 0.000078
55796687, 21432308.417002, 0.000157, 0.000817, 0.000046, 0.000077
55796688, 21432316.787222, 0.000158, 0.000766, 0.000044, 0.000076
55796689, 21432325.227672, 0.000195, 0.000803, 0.000048, 0.000081
55796690, 21432334.142741, 0.000282, 0.000851, 0.000049, 0.000083
55796691, 21432342.410259, 0.000461, 0.001022, 0.000047, 0.000080
55796692, 21432350.623405, 0.000437, 0.000837, 0.000048, 0.000079
55796693, 21432358.860339, 0.000389, 0.000823, 0.000047, 0.000080
55796694, 21432366.821260, 0.000169, 0.000794, 0.000047, 0.000081
55796695, 21432375.177510, 0.000172, 0.000832, 0.000046, 0.000080
55796696, 21432383.596815, 0.000168, 0.000812, 0.000048, 0.000081
55796697, 21432391.773336, 0.000162, 0.000793, 0.000046, 0.000073
55796698, 21432400.177161, 0.000174, 0.000843, 0.000047, 0.000073
55796699, 21432408.867947, 0.000350, 0.000828, 0.000048, 0.000079
55796700, 21432416.956114, 0.000191, 0.000853, 0.000049, 0.000086
55796701, 21432425.384481, 0.000374, 0.000721, 0.000041, 0.000070
55796702, 21432433.861556, 0.000384, 0.000802, 0.000046, 0.000078
55796703, 21432441.866278, 0.000171, 0.000841, 0.000046, 0.000080
55796704, 21432450.190810, 0.000173, 0.000832, 0.000048, 0.000084
55796705, 21432458.709797, 0.000262, 0.000791, 0.000043, 0.000080
55796706, 21432466.956548, 0.000203, 0.000766, 0.000045, 0.000074
55796707, 21432475.167806, 0.000177, 0.000808, 0.000049, 0.000085
55796708, 21432483.820457, 0.000398, 0.000819, 0.000048, 0.000084
55796709, 21432491.865579, 0.000165, 0.000771, 0.000044, 0.000080
55796710, 21432500.593368, 0.000448, 0.000839, 0.000048, 0.000085
55796711, 21432508.646798, 0.000205, 0.000830, 0.000047, 0.000090
55796712, 21432516.795755, 0.000149, 0.000741, 0.000043, 0.000076
55796713, 21432525.769727, 0.000459, 0.001002, 0.000047, 0.000079
55796714, 21432533.873752, 0.000420, 0.000811, 0.000047, 0.000079
55796715, 21432542.126922, 0.000197, 0.000866, 0.000051, 0.000084
55796716, 21432550.759561, 0.000461, 0.001013, 0.000046, 0.000081
55796717, 21432558.704624, 0.000209, 0.000854, 0.000053, 0.000083
55796718, 21432566.802230, 0.000154, 0.000729, 0.000042, 0.000073
55796719, 21432575.769029, 0.000398, 0.000967, 0.000053, 0.000085
55796720, 21432583.578540, 0.000183, 0.000811, 0.000046, 0.000083
55796721, 21432592.197586, 0.000195, 0.000853, 0.000046, 0.000082
55796722, 21432600.754709, 0.000430, 0.000964, 0.000046, 0.000077
55796723, 21432608.664657, 0.000173, 0.000822, 0.000048, 0.000083
55796724, 21432616.668246, 0.000156, 0.000742, 0.000041, 0.000065
55796725, 21432630.704071, 0.000417, 0.000858, 0.000045, 0.000071
55796726, 21432633.524225, 0.000180, 0.000810, 0.000055, 0.000076
55796727, 21432642.107023, 0.000177, 0.000806, 0.000043, 0.000074
55796728, 21432650.328476, 0.000246, 0.000807, 0.000046, 0.000072
55796729, 21432658.708891, 0.000264, 0.000830, 0.000047, 0.000072
55796730, 21432666.845766, 0.000188, 0.000738, 0.000041, 0.000069
55796731, 21432675.537307, 0.000408, 0.000864, 0.000050, 0.000087
55796732, 21432683.708164, 0.000232, 0.000870, 0.000045, 0.000085
55796733, 21432691.831823, 0.000181, 0.000865, 0.000047, 0.000087
55796734, 21432700.281335, 0.000195, 0.000760, 0.000043, 0.000071
55796735, 21432708.616818, 0.000173, 0.000795, 0.000043, 0.000077
55796736, 21432717.076147, 0.000152, 0.000718, 0.000040, 0.000066
55796737, 21432725.698591, 0.000477, 0.000896, 0.000041, 0.000070
55796738, 21432733.786002, 0.000255, 0.000810, 0.000045, 0.000069
55796739, 21432742.417886, 0.000166, 0.000827, 0.000045, 0.000072
55796740, 21432750.438466, 0.000165, 0.000836, 0.000046, 0.000075
55796741, 21432758.793960, 0.000167, 0.000792, 0.000042, 0.000072
55796742, 21432766.783955, 0.000176, 0.000751, 0.000043, 0.000071
55796743, 21432775.716394, 0.000423, 0.000920, 0.000045, 0.000080
55796744, 21432783.854024, 0.000409, 0.000859, 0.000046, 0.000079
55796745, 21432791.975795, 0.000163, 0.000802, 0.000046, 0.000081
55796746, 21432800.790050, 0.000456, 0.000846, 0.000047, 0.000082
55796747, 21432809.196896, 0.000225, 0.000807, 0.000047, 0.000081
