Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55957189, 22769837.911568, 0.000170, 0.000864, 0.000049, 0.000077
55957190, 22769842.616607, 0.000417, 0.000870, 0.000047, 0.000073
55957191, 22769850.687783, 0.000169, 0.000936, 0.000048, 0.000085
55957192, 22769858.929247, 0.000175, 0.000874, 0.000048, 0.000087
55957193, 22769867.430488, 0.000373, 0.000907, 0.000050, 0.000086
55957194, 22769875.579823, 0.000194, 0.000859, 0.000047, 0.000091
55957195, 22769884.797712, 0.000172, 0.000883, 0.000048, 0.000075
55957196, 22769892.171495, 0.000167, 0.000872, 0.000048, 0.000071
55957197, 22769900.552665, 0.000175, 0.000792, 0.000043, 0.000073
55957198, 22769908.984808, 0.000167, 0.000870, 0.000049, 0.000084
55957199, 22769917.776786, 0.000370, 0.000840, 0.000044, 0.000067
55957200, 22769925.614239, 0.000228, 0.000839, 0.000047, 0.000077
55957201, 22769934.278595, 0.000380, 0.001056, 0.000047, 0.000085
55957202, 22769942.196472, 0.000165, 0.000850, 0.000048, 0.000083
55957203, 22769950.706020, 0.000168, 0.000869, 0.000048, 0.000089
55957204, 22769959.640346, 0.000436, 0.001051, 0.000048, 0.000081
55957205, 22769967.811580, 0.000439, 0.000944, 0.000050, 0.000083
55957206, 22769975.558791, 0.000166, 0.000850, 0.000050, 0.000083
55957207, 22769983.909377, 0.000204, 0.000887, 0.000047, 0.000081
55957208, 22769992.492930, 0.000308, 0.000872, 0.000049, 0.000086
55957209, 22770000.596955, 0.000219, 0.000800, 0.000042, 0.000071
55957210, 22770009.126137, 0.000166, 0.000990, 0.000055, 0.000096
55957211, 22770017.546198, 0.000315, 0.000937, 0.000049, 0.000092
55957212, 22770025.666459, 0.000170, 0.000885, 0.000047, 0.000086
55957213, 22770034.063109, 0.000201, 0.000882, 0.000048, 0.000089
55957214, 22770042.641754, 0.000352, 0.000903, 0.000050, 0.000088
55957215, 22770051.015750, 0.000161, 0.000800, 0.000043, 0.000071
55957216, 22770058.918146, 0.000180, 0.000902, 0.000050, 0.000085
55957217, 22770067.141865, 0.000170, 0.000874, 0.000049, 0.000080
55957218, 22770075.655943, 0.000193, 0.000892, 0.000049, 0.000085
55957219, 22770083.877396, 0.000163, 0.000833, 0.000046, 0.000079
55957220, 22770092.205704, 0.000168, 0.000848, 0.000049, 0.000087
55957221, 22770100.467181, 0.000160, 0.000815, 0.000044, 0.000081
55957222, 22770108.909519, 0.000185, 0.000903, 0.000050, 0.000091
55957223, 22770117.223479, 0.000168, 0.000880, 0.000048, 0.000080
55957224, 22770125.785510, 0.000289, 0.000913, 0.000050, 0.000090
55957225, 22770133.956367, 0.000180, 0.000942, 0.000043, 0.000074
55957226, 22770142.411543, 0.000259, 0.000822, 0.000046, 0.000078
55957227, 22770150.641680, 0.000179, 0.000797, 0.000044, 0.000068
55957228, 22770159.531074, 0.000456, 0.001136, 0.000049, 0.000072
55957229, 22770167.234485, 0.000190, 0.000889, 0.000051, 0.000083
55957230, 22770175.611879, 0.000189, 0.000851, 0.000048, 0.000083
55957231, 22770184.888294, 0.000176, 0.000841, 0.000045, 0.000078
55957232, 22770192.180142, 0.000164, 0.000825, 0.000043, 0.000073
55957233, 22770200.770869, 0.000184, 0.000886, 0.000050, 0.000087
55957234, 22770209.047449, 0.000171, 0.000870, 0.000049, 0.000082
55957235, 22770217.568324, 0.000329, 0.000875, 0.000050, 0.000088
55957236, 22770225.796951, 0.000244, 0.000924, 0.000048, 0.000082
55957237, 22770233.916079, 0.000179, 0.000899, 0.000046, 0.000076
55957238, 22770242.356151, 0.000238, 0.000814, 0.000044, 0.000071
55957239, 22770250.744495, 0.000177, 0.000940, 0.000052, 0.000091
55957240, 22770258.921771, 0.000170, 0.000895, 0.000050, 0.000087
55957241, 22770267.542705, 0.000294, 0.000939, 0.000051, 0.000090
55957242, 22770275.776618, 0.000278, 0.000826, 0.000043, 0.000072
55957243, 22770283.924065, 0.000187, 0.000871, 0.000046, 0.000075
55957244, 22770292.248975, 0.000161, 0.000826, 0.000045, 0.000070
55957245, 22770300.957508, 0.000262, 0.000913, 0.000050, 0.000084
55957246, 22770309.456483, 0.000406, 0.001038, 0.000047, 0.000080
55957247, 22770317.544649, 0.000312, 0.000873, 0.000047, 0.000077
55957248, 22770325.815188, 0.000243, 0.000946, 0.000045, 0.000070
55957249, 22770333.870883, 0.000160, 0.000887, 0.000046, 0.000074
55957250, 22770342.515604, 0.000193, 0.000792, 0.000042, 0.000070
55957251, 22770350.723842, 0.000294, 0.000813, 0.000042, 0.000071
55957252, 22770359.532056, 0.000437, 0.001086, 0.000046, 0.000086
55957253, 22770367.534134, 0.000356, 0.000822, 0.000043, 0.000072
55957254, 22770375.595492, 0.000191, 0.000879, 0.000047, 0.000080
55957255, 22770383.775789, 0.000155, 0.000869, 0.000047, 0.000072
55957256, 22770392.366138, 0.000316, 0.000798, 0.000042, 0.000066
55957257, 22770400.717857, 0.000292, 0.000889, 0.000048, 0.000070
55957258, 22770408.946106, 0.000165, 0.000877, 0.000049, 0.000079
55957259, 22770418.601612, 0.000370, 0.000860, 0.000048, 0.000080
55957260, 22770426.202322, 0.000398, 0.001173, 0.000048, 0.000082
55957261, 22770433.775845, 0.000181, 0.000804, 0.000047, 0.000078
55957262, 22770442.559894, 0.000199, 0.000780, 0.000045, 0.000079
55957263, 22770450.745099, 0.000247, 0.000869, 0.000049, 0.000082
55957264, 22770458.761526, 0.000159, 0.000862, 0.000048, 0.000078
55957265, 22770467.157421, 0.000160, 0.000885, 0.000048, 0.000074
55957266, 22770475.747771, 0.000293, 0.000883, 0.000048, 0.000075
55957267, 22770484.652646, 0.000176, 0.000873, 0.000047, 0.000077
55957268, 22770494.701591, 0.000160, 0.000843, 0.000049, 0.000081
55957269, 22770500.764790, 0.000290, 0.000876, 0.000047, 0.000075
55957270, 22770508.949240, 0.000164, 0.000833, 0.000044, 0.000064
55957271, 22770517.547897, 0.000357, 0.000871, 0.000047, 0.000077
55957272, 22770525.988724, 0.000276, 0.000901, 0.000051, 0.000085
55957273, 22770533.941339, 0.000173, 0.000863, 0.000048, 0.000085
55957274, 22770542.378769, 0.000213, 0.000810, 0.000045, 0.000082
55957275, 22770550.743702, 0.000174, 0.000890, 0.000048, 0.000082
55957276, 22770558.937214, 0.000179, 0.000885, 0.000050, 0.000086
55957277, 22770567.260614, 0.000170, 0.000913, 0.000053, 0.000086
55957278, 22770575.758834, 0.000245, 0.000894, 0.000048, 0.000083
55957279, 22770583.942151, 0.000176, 0.000875, 0.000049, 0.000085
55957280, 22770592.329362, 0.000250, 0.000856, 0.000047, 0.000082
55957281, 22770604.498049, 0.000434, 0.001228, 0.000050, 0.000088
55957282, 22770609.097365, 0.000175, 0.000890, 0.000047, 0.000084
55957283, 22770617.148529, 0.000165, 0.000885, 0.000047, 0.000082
55957284, 22770625.432283, 0.000168, 0.000872, 0.000045, 0.000073
55957285, 22770633.913512, 0.000152, 0.000808, 0.000044, 0.000066
55957286, 22770642.289395, 0.000173, 0.000872, 0.000049, 0.000078
55957287, 22770650.752878, 0.000171, 0.000886, 0.000048, 0.000073
55957288, 22770659.000006, 0.000166, 0.000877, 0.000047, 0.000075
55957289, 22770667.688527, 0.000321, 0.000956, 0.000052, 0.000087
55957290, 22770675.599985, 0.000167, 0.000843, 0.000053, 0.000077
55957291, 22770684.038925, 0.000161, 0.000799, 0.000043, 0.000072
55957292, 22770694.423918, 0.000289, 0.000875, 0.000047, 0.000081
55957293, 22770700.812592, 0.000272, 0.000899, 0.000050, 0.000086
55957294, 22770708.927567, 0.000171, 0.000888, 0.000056, 0.000093
55957295, 22770717.312135, 0.000158, 0.000874, 0.000049, 0.000087
55957296, 22770725.546048, 0.000146, 0.000826, 0.000049, 0.000076
55957297, 22770733.931371, 0.000158, 0.000836, 0.000048, 0.000084
55957298, 22770742.295927, 0.000168, 0.000883, 0.000054, 0.000094
55957299, 22770750.760542, 0.000176, 0.000953, 0.000061, 0.000116
55957300, 22770759.034479, 0.000170, 0.000923, 0.000054, 0.000096
55957301, 22770767.359012, 0.000173, 0.000928, 0.000052, 0.000091
55957302, 22770775.670329, 0.000173, 0.000919, 0.000053, 0.000106
55957303, 22770784.131546, 0.000179, 0.000952, 0.000058, 0.000107
55957304, 22770792.825730, 0.000168, 0.001371, 0.000060, 0.000110
55957305, 22770802.357767, 0.000203, 0.000994, 0.000049, 0.000089
55957306, 22770808.846123, 0.000176, 0.000902, 0.000060, 0.000093
55957307, 22770817.351517, 0.000176, 0.000910, 0.000053, 0.000090
55957308, 22770825.763270, 0.000178, 0.000948, 0.000052, 0.000094
55957309, 22770834.607732, 0.000194, 0.001360, 0.000058, 0.000108
55957310, 22770855.169671, 0.000214, 0.001062, 0.000056, 0.000096
55957311, 22770855.268598, 0.000259, 0.001215, 0.000043, 0.000068
55957312, 22770859.344209, 0.000171, 0.000881, 0.000052, 0.000088
55957313, 22770867.972317, 0.000181, 0.001026, 0.000062, 0.000103
55957314, 22770876.191882, 0.000214, 0.000957, 0.000050, 0.000091
55957315, 22770884.286090, 0.000178, 0.000897, 0.000052, 0.000091
55957316, 22770892.894563, 0.000179, 0.000943, 0.000059, 0.000110
55957317, 22770900.991037, 0.000474, 0.000978, 0.000051, 0.000092
55957318, 22770909.146791, 0.000198, 0.000902, 0.000049, 0.000094
55957319, 22770918.444727, 0.000196, 0.001035, 0.000049, 0.000093
55957320, 22770926.517036, 0.000170, 0.000923, 0.000053, 0.000103
55957321, 22770933.988612, 0.000165, 0.000880, 0.000051, 0.000091
55957322, 22770951.804781, 0.000182, 0.010160, 0.000068, 0.000116
55957323, 22770952.512746, 0.000182, 0.001045, 0.000052, 0.000081
55957324, 22770959.202729, 0.000211, 0.001008, 0.000049, 0.000089
55957325, 22770967.249362, 0.000169, 0.000920, 0.000050, 0.000090
55957326, 22770975.766461, 0.000174, 0.000923, 0.000054, 0.000099
55957327, 22770984.288469, 0.000167, 0.001008, 0.000063, 0.000103
55957328, 22770993.551290, 0.000213, 0.000976, 0.000050, 0.000093
55957329, 22771000.710985, 0.000167, 0.000874, 0.000045, 0.000097
55957330, 22771008.965665, 0.000159, 0.000864, 0.000046, 0.000079
55957331, 22771017.633419, 0.000387, 0.000864, 0.000047, 0.000086
55957332, 22771025.578105, 0.000201, 0.000843, 0.000047, 0.000084
55957333, 22771033.973622, 0.000210, 0.000825, 0.000047, 0.000083
55957334, 22771042.497140, 0.000333, 0.000842, 0.000047, 0.000083
55957335, 22771052.766594, 0.000169, 0.000848, 0.000051, 0.000085
55957336, 22771059.347079, 0.000174, 0.000891, 0.000048, 0.000082
55957337, 22771067.372189, 0.000169, 0.000882, 0.000047, 0.000091
55957338, 22771075.723152, 0.000291, 0.000790, 0.000043, 0.000072
55957339, 22771083.925726, 0.000164, 0.000795, 0.000044, 0.000074
55957340, 22771092.729787, 0.000302, 0.000897, 0.000050, 0.000083
55957341, 22771100.664278, 0.000175, 0.000893, 0.000051, 0.000083
55957342, 22771108.968799, 0.000172, 0.000958, 0.000047, 0.000078
55957343, 22771117.648635, 0.000337, 0.000905, 0.000048, 0.000086
55957344, 22771125.747752, 0.000253, 0.000894, 0.000048, 0.000076
55957345, 22771134.492155, 0.000434, 0.001073, 0.000052, 0.000089
55957346, 22771142.573525, 0.000189, 0.000831, 0.000048, 0.000079
55957347, 22771152.780677, 0.000178, 0.000973, 0.000050, 0.000089
55957348, 22771158.970743, 0.000168, 0.000874, 0.000049, 0.000081
55957349, 22771167.428940, 0.000172, 0.000900, 0.000051, 0.000091
