Frame Number, Timestamp
55860287, 21962390.031176
55860288, 21962390.083660
55860289, 21962390.113489
55860290, 21962390.139542
55860291, 21962390.156911
55860292, 21962390.204486
55860293, 21962390.223743
55860294, 21962390.242244
55860295, 21962390.262634
55860296, 21962390.276604
55860297, 21962395.335437
55860298, 21962403.650908
55860299, 21962411.733033
55860300, 21962420.243713
55860301, 21962428.690959
55860302, 21962437.316047
55860303, 21962445.769712
55860304, 21962453.708357
55860305, 21962461.828618
55860306, 21962470.383097
55860307, 21962478.729152
55860308, 21962486.856965
55860309, 21962495.452223
55860310, 21962503.473180
55860311, 21962511.659896
55860312, 21962520.218528
55860313, 21962528.729964
55860314, 21962536.901576
55860315, 21962545.514958
55860316, 21962553.541957
55860317, 21962562.696790
55860318, 21962570.254078
55860319, 21962578.594846
55860320, 21962586.914093
55860321, 21962595.539935
55860322, 21962603.526910
55860323, 21962611.775926
55860324, 21962620.186925
55860325, 21962628.569605
55860326, 21962636.847317
55860327, 21962645.353089
55860328, 21962653.509598
55860329, 21962661.886237
55860330, 21962670.303276
55860331, 21962678.776954
55860332, 21962686.838312
55860333, 21962695.177948
55860334, 21962703.426964
55860335, 21962711.864016
55860336, 21962720.216867
55860337, 21962728.530072
55860338, 21962736.893496
55860339, 21962745.464589
55860340, 21962753.400213
55860341, 21962762.200497
55860342, 21962770.200310
55860343, 21962778.472736
55860344, 21962786.849375
55860345, 21962795.472197
55860346, 21962803.534688
55860347, 21962811.929451
55860348, 21962820.631187
55860349, 21962828.588333
55860350, 21962837.013680
55860351, 21962845.517186
55860352, 21962853.404102
55860353, 21962861.869472
55860354, 21962870.064494
55860355, 21962878.637098
55860356, 21962886.994857
55860357, 21962895.235944
55860358, 21962903.404913
55860359, 21962911.914838
55860360, 21962920.170274
55860361, 21962928.636777
55860362, 21962936.911468
55860363, 21962945.576579
55860364, 21962953.435932
55860365, 21962962.339296
55860366, 21962970.225835
55860367, 21962978.627771
55860368, 21962986.898310
55860369, 21962995.564176
55860370, 21963003.415221
55860371, 21963011.985937
55860372, 21963020.211543
55860373, 21963028.587804
55860374, 21963036.790756
55860375, 21963045.178344
55860376, 21963053.791349
55860377, 21963061.952011
55860378, 21963070.322231
55860379, 21963078.625241
55860380, 21963086.962234
55860381, 21963095.525020
55860382, 21963103.500668
55860383, 21963112.357968
55860384, 21963120.172766
55860385, 21963128.589428
55860386, 21963136.919624
55860387, 21963145.454092
55860388, 21963153.649114
55860389, 21963162.254567
55860390, 21963170.176976
55860391, 21963178.736364
55860392, 21963187.005392
55860393, 21963195.313688
55860394, 21963204.245749
55860395, 21963211.897054
55860396, 21963220.353363
55860397, 21963228.814202
55860398, 21963237.401153
55860399, 21963245.088707
55860400, 21963253.571068
55860401, 21963262.432521
55860402, 21963270.280546
55860403, 21963278.687769
55860404, 21963287.266414
55860405, 21963295.499194
55860406, 21963303.693839
55860407, 21963311.799374
55860408, 21963320.324402
55860409, 21963328.590410
55860410, 21963337.252122
55860411, 21963345.209268
55860412, 21963354.282544
55860413, 21963362.233649
55860414, 21963370.221379
55860415, 21963378.793227
55860416, 21963387.053949
55860417, 21963395.387543
55860418, 21963404.323002
55860419, 21963412.478378
55860420, 21963420.802533
55860421, 21963428.763455
55860422, 21963437.018513
55860423, 21963445.510691
55860424, 21963454.330988
55860425, 21963462.543379
55860426, 21963470.314377
55860427, 21963479.251347
55860428, 21963487.244740
55860429, 21963495.727480
55860430, 21963503.590985
55860431, 21963512.554763
55860432, 21963520.379000
55860433, 21963529.241586
55860434, 21963536.910260
55860435, 21963545.382805
55860436, 21963553.690346
55860437, 21963562.224058
