Frame Number, Timestamp
55024825, 15000165.070568
55024826, 15000165.125694
55024827, 15000165.147217
55024828, 15000165.163830
55024829, 15000165.183464
55024830, 15000165.206874
55024831, 15000165.223488
55024832, 15000165.242367
55024833, 15000165.260113
55024834, 15000165.279370
55024835, 15000167.195217
55024836, 15000175.753850
55024837, 15000183.685320
55024838, 15000191.987576
55024839, 15000200.692710
55024840, 15000208.745006
55024841, 15000216.992512
55024842, 15000225.692361
55024843, 15000233.616657
55024844, 15000241.839243
55024845, 15000250.095056
55024846, 15000258.956509
55024847, 15000266.930268
55024848, 15000275.647108
55024849, 15000283.849681
55024850, 15000292.470615
55024851, 15000300.282770
55024852, 15000309.032837
55024853, 15000316.909935
55024854, 15000326.022480
55024855, 15000333.830481
55024856, 15000341.685303
55024857, 15000350.286225
55024858, 15000358.449908
55024859, 15000366.851089
55024860, 15000375.460318
55024861, 15000383.343081
55024862, 15000391.993466
55024863, 15000400.678211
55024864, 15000408.489611
55024865, 15000417.493034
55024866, 15000425.177566
55024867, 15000433.789061
55024868, 15000442.029393
55024869, 15000451.269937
55024870, 15000458.791732
55024871, 15000467.241244
55024872, 15000475.489505
55024873, 15000483.660740
55024874, 15000491.975833
55024875, 15000500.169722
55024876, 15000509.062892
55024877, 15000517.142374
55024878, 15000525.296995
55024879, 15000533.690625
55024880, 15000541.835052
55024881, 15000550.198853
55024882, 15000558.557745
55024883, 15000566.777310
55024884, 15000575.120722
55024885, 15000583.791119
55024886, 15000592.043911
55024887, 15000600.180785
55024888, 15000608.494368
55024889, 15000616.806063
55024890, 15000625.123421
55024891, 15000634.238231
55024892, 15000641.983177
55024893, 15000651.224854
55024894, 15000658.566165
55024895, 15000666.724562
55024896, 15000675.562605
55024897, 15000683.446500
55024898, 15000692.061015
55024899, 15000700.081972
55024900, 15000708.839213
55024901, 15000716.683840
55024902, 15000725.592113
55024903, 15000733.735406
55024904, 15000742.067491
55024905, 15000750.115256
55024906, 15000758.561747
55024907, 15000766.834551
55024908, 15000775.577066
55024909, 15000783.729044
55024910, 15000792.435689
55024911, 15000800.164021
55024912, 15000808.962418
55024913, 15000817.605251
55024914, 15000825.010751
55024915, 15000833.812924
55024916, 15000841.936583
55024917, 15000850.658709
55024918, 15000859.015713
55024919, 15000866.840706
55024920, 15000875.048943
55024921, 15000883.763517
55024922, 15000891.963448
55024923, 15000900.871344
55024924, 15000908.843215
55024925, 15000917.599701
55024926, 15000925.025212
55024927, 15000933.633686
55024928, 15000941.949157
55024929, 15000950.629748
55024930, 15000958.873101
55024931, 15000967.526507
55024932, 15000974.898779
55024933, 15000984.237495
55024934, 15000992.580151
55024935, 15001000.547115
55024936, 15001008.803305
55024937, 15001016.911484
55024938, 15001025.205810
55024939, 15001033.949457
55024940, 15001041.869223
55024941, 15001050.084634
55024942, 15001059.014430
55024943, 15001066.747670
55024944, 15001075.388993
55024945, 15001084.054481
55024946, 15001091.884760
55024947, 15001100.609906
55024948, 15001108.886109
55024949, 15001116.685803
55024950, 15001125.061687
55024951, 15001133.664874
55024952, 15001141.723212
55024953, 15001150.516323
55024954, 15001158.744195
55024955, 15001166.766662
55024956, 15001175.327183
55024957, 15001183.690984
55024958, 15001191.778773
55024959, 15001200.155412
55024960, 15001208.945880
55024961, 15001216.870554
55024962, 15001225.783358
55024963, 15001234.060693
55024964, 15001242.053331
55024965, 15001250.285356
55024966, 15001258.855694
55024967, 15001267.117548
55024968, 15001275.325408
55024969, 15001286.638119
55024970, 15001291.783795
55024971, 15001300.744552
55024972, 15001308.876140
55024973, 15001317.467245
55024974, 15001325.505949
55024975, 15001333.858800
55024976, 15001342.113102
55024977, 15001350.087995
55024978, 15001358.852409
55024979, 15001366.661166
55024980, 15001375.296448
55024981, 15001383.685169
55024982, 15001392.029336
55024983, 15001400.738624
55024984, 15001409.047298
55024985, 15001416.880220
55024986, 15001425.634440
55024987, 15001434.040907
55024988, 15001442.097735
55024989, 15001450.686574
55024990, 15001458.943897
55024991, 15001466.744725
55024992, 15001475.174980
55024993, 15001484.009247
55024994, 15001492.198228
55024995, 15001500.199174
55024996, 15001509.324933
55024997, 15001516.952073
55024998, 15001525.886777
55024999, 15001534.048195
55025000, 15001542.063111
55025001, 15001550.318546
55025002, 15001558.692164
55025003, 15001566.852071
55025004, 15001575.500191
55025005, 15001583.937242
55025006, 15001591.889480
55025007, 15001602.932975
55025008, 15001609.903501
55025009, 15001616.759243
55025010, 15001625.739256
55025011, 15001633.528379
55025012, 15001642.656404
55025013, 15001650.185751
55025014, 15001658.810460
55025015, 15001666.836704
55025016, 15001675.611690
55025017, 15001684.069887
55025018, 15001691.999092
55025019, 15001700.161264
55025020, 15001708.714989
55025021, 15001716.722731
55025022, 15001725.778638
55025023, 15001733.833578
55025024, 15001742.712399
55025025, 15001750.657085
55025026, 15001758.628957
55025027, 15001766.775649
55025028, 15001775.227426
55025029, 15001783.898578
55025030, 15001792.406615
55025031, 15001800.043195
55025032, 15001808.746441
55025033, 15001816.944484
55025034, 15001825.847849
55025035, 15001833.909585
55025036, 15001841.950554
55025037, 15001850.214673
55025038, 15001858.855619
55025039, 15001866.883373
55025040, 15001875.292861
55025041, 15001883.848096
55025042, 15001891.742941
55025043, 15001900.510754
55025044, 15001908.521139
55025045, 15001917.064668
55025046, 15001925.283856
55025047, 15001933.452447
55025048, 15001941.790195
55025049, 15001950.067907
55025050, 15001958.316546
55025051, 15001966.870271
55025052, 15001975.199712
55025053, 15001983.471383
55025054, 15001992.045497
55025055, 15002000.715516
55025056, 15002008.830113
55025057, 15002016.837100
55025058, 15002025.446329
55025059, 15002033.597552
55025060, 15002041.737824
55025061, 15002050.470145
55025062, 15002058.630052
55025063, 15002067.137334
55025064, 15002075.690680
55025065, 15002083.957065
55025066, 15002091.920253
55025067, 15002100.804361
55025068, 15002108.813235
55025069, 15002117.263125
55025070, 15002125.774560
55025071, 15002133.961653
55025072, 15002141.996958
55025073, 15002150.733810
55025074, 15002158.366991
55025075, 15002167.257140
55025076, 15002175.134617
55025077, 15002183.709863
55025078, 15002191.828991
55025079, 15002201.825831
55025080, 15002208.957207
55025081, 15002217.002707
55025082, 15002225.261918
55025083, 15002233.853778
55025084, 15002241.847550
55025085, 15002250.075799
55025086, 15002258.818314
55025087, 15002267.037124
55025088, 15002275.655037
55025089, 15002283.863652
55025090, 15002291.924633
55025091, 15002300.674699
55025092, 15002308.733037
55025093, 15002317.091174
55025094, 15002325.869937
55025095, 15002333.822930
55025096, 15002342.156902
55025097, 15002350.148408
55025098, 15002358.673814
55025099, 15002367.141449
55025100, 15002375.264354
55025101, 15002383.524320
55025102, 15002392.174705
55025103, 15002401.039178
55025104, 15002408.851333
55025105, 15002417.011240
55025106, 15002426.148328
55025107, 15002433.914040
55025108, 15002441.838714
55025109, 15002451.673571
55025110, 15002458.680723
55025111, 15002466.911616
55025112, 15002475.282591
55025113, 15002483.971867
55025114, 15002492.063432
55025115, 15002500.534466
55025116, 15002508.584497
55025117, 15002517.047602
55025118, 15002525.585090
55025119, 15002533.572442
55025120, 15002541.839583
55025121, 15002550.594558
55025122, 15002558.759751
55025123, 15002566.967989
55025124, 15002575.221536
55025125, 15002583.659720
55025126, 15002592.478884
55025127, 15002600.679193
55025128, 15002608.650309
55025129, 15002616.864210
55025130, 15002625.264637
55025131, 15002634.038868
55025132, 15002641.798162
55025133, 15002650.195190
55025134, 15002659.288856
55025135, 15002667.031158
55025136, 15002675.722322
55025137, 15002683.519751
55025138, 15002691.937546
55025139, 15002700.314940
55025140, 15002708.472959
55025141, 15002717.134672
55025142, 15002725.991594
55025143, 15002733.631949
55025144, 15002742.493780
55025145, 15002750.111480
55025146, 15002759.889323
55025147, 15002766.953489
55025148, 15002775.609161
55025149, 15002783.811357
55025150, 15002791.893482
55025151, 15002800.838758
55025152, 15002808.871421
55025153, 15002816.952791
55025154, 15002825.430999
55025155, 15002833.811414
55025156, 15002842.382884
55025157, 15002850.305670
55025158, 15002858.818238
55025159, 15002866.946806
55025160, 15002875.074619
55025161, 15002883.806939
55025162, 15002892.491684
55025163, 15002900.622895
55025164, 15002908.703133
55025165, 15002916.785258
55025166, 15002925.416009
55025167, 15002933.332754
55025168, 15002941.897428
55025169, 15002950.764545
55025170, 15002958.741325
55025171, 15002966.912182
55025172, 15002975.270697
55025173, 15002983.733047
55025174, 15002991.980930
55025175, 15003000.183504
55025176, 15003008.768190
55025177, 15003017.447649
55025178, 15003025.158612
55025179, 15003033.356655
55025180, 15003042.593046
55025181, 15003050.574735
55025182, 15003058.806005
55025183, 15003066.788449
55025184, 15003075.172639
55025185, 15003083.683319
55025186, 15003092.017291
55025187, 15003100.211558
55025188, 15003108.842309
55025189, 15003116.934252
55025190, 15003125.754926
55025191, 15003133.736237
