Frame Number, Timestamp
55757507, 21105883.646845
55757508, 21105883.812981
55757509, 21105883.835635
55757510, 21105883.853759
55757511, 21105883.867730
55757512, 21105883.882455
55757513, 21105883.893405
55757514, 21105883.925877
55757515, 21105883.962503
55757516, 21105883.985158
55757517, 21105890.202409
55757518, 21105898.155025
55757519, 21105906.550542
55757520, 21105915.506768
55757521, 21105924.004988
55757522, 21105932.002158
55757523, 21105940.999918
55757524, 21105948.473005
55757525, 21105956.457714
55757526, 21105965.577433
55757527, 21105973.556478
55757528, 21105982.004480
55757529, 21105990.018263
55757530, 21105998.172884
55757531, 21106006.505723
55757532, 21106015.246728
55757533, 21106023.280145
55757534, 21106031.265233
55757535, 21106040.121022
55757536, 21106047.906368
55757537, 21106056.362677
55757538, 21106065.869416
55757539, 21106073.184297
55757540, 21106081.412168
55757541, 21106090.105975
55757542, 21106098.046130
55757543, 21106106.555300
55757544, 21106115.322735
55757545, 21106123.583079
55757546, 21106131.322738
55757547, 21106140.145300
55757548, 21106148.048075
55757549, 21106156.456430
55757550, 21106164.620113
55757551, 21106173.103607
55757552, 21106181.450795
55757553, 21106189.669982
55757554, 21106198.225217
55757555, 21106206.423637
55757556, 21106214.628477
55757557, 21106223.427629
55757558, 21106231.466710
55757559, 21106240.079714
55757560, 21106248.272471
55757561, 21106256.882455
55757562, 21106265.228887
55757563, 21106273.093904
55757564, 21106282.127156
55757565, 21106290.191158
55757566, 21106298.137354
55757567, 21106306.454335
55757568, 21106315.153428
55757569, 21106323.129830
55757570, 21106331.380357
55757571, 21106340.053397
55757572, 21106348.141186
55757573, 21106356.509518
55757574, 21106365.123278
55757575, 21106373.425911
55757576, 21106382.038538
55757577, 21106390.158044
55757578, 21106398.218269
55757579, 21106406.489941
55757580, 21106415.031960
55757581, 21106423.142404
55757582, 21106431.564730
55757583, 21106439.831870
55757584, 21106448.143943
55757585, 21106456.502457
55757586, 21106464.951592
55757587, 21106473.087711
55757588, 21106481.502486
55757589, 21106489.857225
55757590, 21106498.264825
55757591, 21106507.084367
55757592, 21106515.114763
55757593, 21106523.285998
55757594, 21106532.106295
55757595, 21106540.136314
55757596, 21106548.248268
55757597, 21106556.641898
55757598, 21106565.024578
55757599, 21106573.165606
55757600, 21106581.611342
55757601, 21106589.794660
55757602, 21106598.144112
55757603, 21106606.379158
55757604, 21106614.778452
55757605, 21106623.357097
55757606, 21106631.540791
55757607, 21106640.117170
55757608, 21106648.952570
55757609, 21106657.778908
55757610, 21106665.220656
55757611, 21106673.397932
55757612, 21106681.581249
55757613, 21106691.740826
55757614, 21106698.255235
55757615, 21106706.980003
55757616, 21106715.005491
55757617, 21106723.129906
55757618, 21106731.568846
55757619, 21106740.570759
55757620, 21106748.257934
55757621, 21106756.295128
55757622, 21106764.913041
55757623, 21106774.620653
55757624, 21106781.516041
55757625, 21106790.095063
55757626, 21106800.182900
55757627, 21106806.361261
55757628, 21106815.269156
55757629, 21106823.261040
55757630, 21106831.533844
55757631, 21106839.768890
55757632, 21106848.211983
55757633, 21106856.572008
55757634, 21106864.979986
55757635, 21106873.209745
55757636, 21106881.609039
55757637, 21106889.725147
55757638, 21106898.499001
55757639, 21106906.462566
55757640, 21106915.028750
55757641, 21106923.038380
55757642, 21106931.370464
55757643, 21106939.771268
55757644, 21106948.354444
55757645, 21106956.389372
55757646, 21106965.261775
55757647, 21106973.380148
55757648, 21106981.917636
55757649, 21106993.796718
55757650, 21106999.629215
55757651, 21107006.337322
55757652, 21107015.059448
55757653, 21107023.087579
55757654, 21107031.443828
55757655, 21107040.565435
55757656, 21107049.471065
55757657, 21107056.898087
55757658, 21107064.809923
55757659, 21107073.300592
55757660, 21107081.818823
55757661, 21107090.770518
55757662, 21107098.272679
55757663, 21107106.341211
55757664, 21107115.275915
55757665, 21107123.336518
55757666, 21107131.858526
55757667, 21107140.214398
55757668, 21107148.255744
