Frame Number, Timestamp
55113145, 15736169.726899
55113146, 15736169.769188
55113147, 15736169.788067
55113148, 15736169.803925
55113149, 15736169.818651
55113150, 15736169.834509
55113151, 15736169.849990
55113152, 15736169.874533
55113153, 15736169.945141
55113154, 15736169.964775
55113155, 15736171.476232
55113156, 15736179.899314
55113157, 15736188.009003
55113158, 15736196.376579
55113159, 15736205.167047
55113160, 15736213.279001
55113161, 15736221.411723
55113162, 15736229.936751
55113163, 15736238.035867
55113164, 15736246.496707
55113165, 15736254.814820
55113166, 15736263.162008
55113167, 15736271.436700
55113168, 15736280.425775
55113169, 15736288.053670
55113170, 15736297.149979
55113171, 15736305.178110
55113172, 15736313.260613
55113173, 15736321.772426
55113174, 15736330.232133
55113175, 15736338.113762
55113176, 15736346.988808
55113177, 15736355.058096
55113178, 15736363.416988
55113179, 15736372.053025
55113180, 15736380.961299
55113181, 15736388.731164
55113182, 15736397.092700
55113183, 15736405.107616
55113184, 15736413.391370
55113185, 15736422.264528
55113186, 15736430.241308
55113187, 15736438.108212
55113188, 15736447.675364
55113189, 15736454.901136
55113190, 15736463.327237
55113191, 15736471.990460
55113192, 15736480.222108
55113193, 15736488.684835
55113194, 15736498.332790
55113195, 15736504.876649
55113196, 15736513.416781
55113197, 15736522.034694
55113198, 15736529.676560
55113199, 15736538.744550
55113200, 15736546.576339
55113201, 15736555.208600
55113202, 15736563.243150
55113203, 15736571.517464
55113204, 15736580.181820
55113205, 15736588.372689
55113206, 15736596.597540
55113207, 15736605.046674
55113208, 15736613.205449
55113209, 15736621.909450
55113210, 15736630.600992
55113211, 15736638.103530
55113212, 15736646.606281
55113213, 15736655.405811
55113214, 15736663.159440
55113215, 15736672.027312
55113216, 15736679.898370
55113217, 15736688.338065
55113218, 15736697.136839
55113219, 15736704.983354
55113220, 15736713.330541
55113221, 15736721.635062
55113222, 15736730.273742
55113223, 15736739.453496
55113224, 15736747.276978
55113225, 15736754.914313
55113226, 15736763.327200
55113227, 15736772.056499
55113228, 15736780.071793
55113229, 15736788.211311
55113230, 15736797.102215
55113231, 15736805.339904
55113232, 15736816.088130
55113233, 15736822.527400
55113234, 15736830.184369
55113235, 15736838.853255
55113236, 15736848.203676
55113237, 15736855.301070
55113238, 15736863.229519
55113239, 15736871.560848
55113240, 15736880.023576
55113241, 15736888.461760
55113242, 15736896.600145
55113243, 15736904.869551
55113244, 15736913.352668
55113245, 15736921.958876
55113246, 15736929.855231
55113247, 15736938.334194
55113248, 15736946.642491
55113249, 15736955.022528
55113250, 15736963.147320
55113251, 15736971.433339
55113252, 15736981.479642
55113253, 15736988.288941
55113254, 15736997.520801
55113255, 15737006.438514
55113256, 15737013.307849
55113257, 15737021.936334
55113258, 15737031.573716
55113259, 15737038.275405
55113260, 15737046.528952
55113261, 15737054.992057
55113262, 15737063.301486
55113263, 15737071.772898
55113264, 15737080.213726
55113265, 15737089.325515
55113266, 15737097.096136
55113267, 15737105.221683
55113268, 15737114.600800
55113269, 15737121.367810
55113270, 15737130.411635
55113271, 15737138.244934
55113272, 15737147.328782
55113273, 15737155.184359
55113274, 15737163.173600
55113275, 15737172.129826
55113276, 15737180.003526
55113277, 15737188.255563
