Frame Number, Timestamp
55796662, 21432181.932588
55796663, 21432181.973367
55796664, 21432182.016034
55796665, 21432182.026984
55796666, 21432182.040577
55796667, 21432183.564872
55796668, 21432183.635102
55796669, 21432183.647185
55796670, 21432183.657757
55796671, 21432183.671727
55796672, 21432183.681922
55796673, 21432194.450915
55796674, 21432200.086692
55796675, 21432208.422930
55796676, 21432216.870554
55796677, 21432225.346119
55796678, 21432233.794120
55796679, 21432242.123561
55796680, 21432253.478183
55796681, 21432258.804721
55796682, 21432271.059874
55796683, 21432275.958990
55796684, 21432284.527817
55796685, 21432291.912928
55796686, 21432301.373980
55796687, 21432308.313544
55796688, 21432316.681121
55796689, 21432325.072108
55796690, 21432333.996617
55796691, 21432342.318129
55796692, 21432350.535806
55796693, 21432358.741778
55796694, 21432366.674759
55796695, 21432375.059705
55796696, 21432383.456733
55796697, 21432391.675542
55796698, 21432400.073703
55796699, 21432408.686330
55796700, 21432416.797152
55796701, 21432425.271207
55796702, 21432433.712789
55796703, 21432441.763576
55796704, 21432450.035624
55796705, 21432458.546682
55796706, 21432466.804760
55796707, 21432474.994119
55796708, 21432483.687170
55796709, 21432491.731538
55796710, 21432500.421569
55796711, 21432508.510868
55796712, 21432516.623578
55796713, 21432525.615674
55796714, 21432533.730649
55796715, 21432541.923406
55796716, 21432550.618723
55796717, 21432558.574736
55796718, 21432566.629298
55796719, 21432575.562869
55796720, 21432583.389750
55796721, 21432592.043533
55796722, 21432600.579511
55796723, 21432608.523819
55796724, 21432616.553083
55796725, 21432630.597216
55796726, 21432633.420390
55796727, 21432641.909548
55796728, 21432650.193302
55796729, 21432658.572962
55796730, 21432666.717388
55796731, 21432675.432339
55796732, 21432683.593002
55796733, 21432691.717416
55796734, 21432700.088391
55796735, 21432708.491083
55796736, 21432716.944371
55796737, 21432725.512066
55796738, 21432733.661778
55796739, 21432742.110912
55796740, 21432750.194548
55796741, 21432758.527010
55796742, 21432766.662374
55796743, 21432775.544594
55796744, 21432783.724513
55796745, 21432791.813435
55796746, 21432800.609567
55796747, 21432809.030005
55796748, 21432816.673381
55796749, 21432825.113831
55796750, 21432833.773278
55796751, 21432841.800276
55796752, 21432850.541659
55796753, 21432858.963985
55796754, 21432866.652670
55796755, 21432875.269828
55796756, 21432883.907376
55796757, 21432891.818079
55796758, 21432900.235119
55796759, 21432908.674437
55796760, 21432916.884940
55796761, 21432925.693909
55796762, 21432933.659362
55796763, 21432941.772449
55796764, 21432950.238952
55796765, 21432958.606529
55796766, 21432967.375097
55796767, 21432975.168750
55796768, 21432983.661306
55796769, 21432991.727196
55796770, 21433000.475752
55796771, 21433008.534467
55796772, 21433017.364203
55796773, 21433025.748394
55796774, 21433033.637198
55796775, 21433041.845813
55796776, 21433050.580398
55796777, 21433058.531881
55796778, 21433069.541393
55796779, 21433075.124309
55796780, 21433083.425054
55796781, 21433091.840961
55796782, 21433100.693729
55796783, 21433108.527029
55796784, 21433116.842122
55796785, 21433125.524601
55796786, 21433133.325051
55796787, 21433142.845383
55796788, 21433150.355473
55796789, 21433158.505941
55796790, 21433167.246946
55796791, 21433175.515974
55796792, 21433183.684188
55796793, 21433192.005699
55796794, 21433200.266798
55796795, 21433208.322116
55796796, 21433216.773138
55796797, 21433225.567759
55796798, 21433233.722757
55796799, 21433242.418830
55796800, 21433250.281203
55796801, 21433258.592520
55796802, 21433267.384498
55796803, 21433275.472287
55796804, 21433283.583487
55796805, 21433291.723004
55796806, 21433300.043006
55796807, 21433308.794583
55796808, 21433316.775894
55796809, 21433325.368132
55796810, 21433333.502363
55796811, 21433342.269043
55796812, 21433350.323228
55796813, 21433358.886392
55796814, 21433366.950771
55796815, 21433375.906619
55796816, 21433383.594172
55796817, 21433391.787684
55796818, 21433400.487155
55796819, 21433408.753917
55796820, 21433416.794886
55796821, 21433426.391490
