Frame Number, Timestamp
55957180, 22769834.917349
55957181, 22769835.027980
55957182, 22769835.063850
55957183, 22769835.090659
55957184, 22769835.122753
55957185, 22769835.153337
55957186, 22769835.170706
55957187, 22769835.205443
55957188, 22769835.228098
55957189, 22769835.255662
55957190, 22769842.485964
55957191, 22769850.577906
55957192, 22769858.756693
55957193, 22769867.321744
55957194, 22769875.451823
55957195, 22769884.706715
55957196, 22769892.061619
55957197, 22769900.428818
55957198, 22769908.831888
55957199, 22769917.598190
55957200, 22769925.498322
55957201, 22769934.176648
55957202, 22769942.076779
55957203, 22769950.551967
55957204, 22769959.462883
55957205, 22769967.641669
55957206, 22769975.482520
55957207, 22769983.759855
55957208, 22769992.328305
55957209, 22770000.492365
55957210, 22770008.988697
55957211, 22770017.418953
55957212, 22770025.577727
55957213, 22770033.932844
55957214, 22770042.510733
55957215, 22770050.893036
55957216, 22770058.803362
55957217, 22770067.038407
55957218, 22770075.537005
55957219, 22770083.762234
55957220, 22770092.034660
55957221, 22770100.304821
55957222, 22770108.820787
55957223, 22770117.057343
55957224, 22770125.689982
55957225, 22770133.828367
55957226, 22770142.300911
55957227, 22770150.423060
55957228, 22770159.349080
55957229, 22770167.120456
55957230, 22770175.460092
55957231, 22770184.741415
55957232, 22770192.015139
55957233, 22770200.567731
55957234, 22770208.851484
55957235, 22770217.390105
55957236, 22770225.679523
55957237, 22770233.801672
55957238, 22770242.197945
55957239, 22770250.646324
55957240, 22770258.771116
55957241, 22770267.365242
55957242, 22770275.654659
55957243, 22770283.774920
55957244, 22770292.135701
55957245, 22770300.846876
55957246, 22770309.265427
55957247, 22770317.311304
55957248, 22770325.655093
55957249, 22770333.741750
55957250, 22770342.415167
55957251, 22770350.592443
55957252, 22770359.376870
55957253, 22770367.370641
55957254, 22770375.471268
55957255, 22770383.670066
55957256, 22770392.280428
55957257, 22770400.600429
55957258, 22770408.747121
55957259, 22770418.467571
55957260, 22770426.084894
55957261, 22770433.673143
55957262, 22770442.301629
55957263, 22770450.588781
55957264, 22770458.683744
55957265, 22770467.014318
55957266, 22770475.633364
55957267, 22770484.538994
55957268, 22770494.529414
55957269, 22770500.645097
55957270, 22770508.757429
55957271, 22770517.353820
55957272, 22770525.833538
55957273, 22770533.765764
55957274, 22770542.250391
55957275, 22770550.526971
55957276, 22770558.813368
55957277, 22770567.132992
55957278, 22770575.653866
55957279, 22770583.784322
55957280, 22770592.211557
55957281, 22770604.274521
55957282, 22770608.966722
55957283, 22770616.999384
55957284, 22770625.332224
55957285, 22770633.693759
55957286, 22770642.186315
55957287, 22770650.508960
55957288, 22770658.839911
55957289, 22770667.497848
55957290, 22770675.478782
55957291, 22770683.785568
55957292, 22770694.272131
55957293, 22770700.686480
55957294, 22770708.807496
55957295, 22770717.110129
55957296, 22770725.426732
55957297, 22770733.773542
55957298, 22770742.062960
55957299, 22770750.576660
55957300, 22770758.920450
55957301, 22770767.217041
55957302, 22770775.571780
55957303, 22770783.966920
55957304, 22770792.641093
55957305, 22770802.168599
55957306, 22770808.749462
55957307, 22770817.210679
55957308, 22770825.565040
55957309, 22770834.412523
55957310, 22770854.969931
55957311, 22770855.190061
55957312, 22770859.000232
55957313, 22770867.772199
55957314, 22770875.834690
55957315, 22770884.049724
55957316, 22770892.701997
55957317, 22770900.875497
55957318, 22770908.979900
55957319, 22770918.215158
55957320, 22770926.294640
55957321, 22770933.796424
55957322, 22770951.632982
55957323, 22770952.374551
55957324, 22770959.046411
55957325, 22770967.107392
55957326, 22770975.547086
55957327, 22770984.055123
55957328, 22770993.378736
55957329, 22771000.537298
55957330, 22771008.768945
55957331, 22771017.489938
55957332, 22771025.455013
55957333, 22771033.732348
55957334, 22771042.375559
55957335, 22771052.528717
55957336, 22771059.070689
55957337, 22771067.200390
55957338, 22771075.579672
55957339, 22771083.729384
55957340, 22771092.547415
55957341, 22771100.535145
55957342, 22771108.839666
55957343, 22771117.421331
55957344, 22771125.596342
55957345, 22771134.338857
55957346, 22771142.425136
55957347, 22771152.618317
55957348, 22771158.782708
55957349, 22771167.239771
55957350, 22771176.711396
55957351, 22771184.495232
55957352, 22771192.686101
55957353, 22771200.921902
55957354, 22771208.761620
55957355, 22771218.150554
55957356, 22771225.410308
55957357, 22771233.831123
55957358, 22771242.462252
55957359, 22771250.562501
55957360, 22771258.866644
55957361, 22771267.130386
55957362, 22771275.762270
55957363, 22771284.000714
55957364, 22771292.674887
55957365, 22771300.816292
55957366, 22771308.797604
55957367, 22771317.322254
55957368, 22771325.436851
55957369, 22771333.918080
55957370, 22771342.568465
55957371, 22771350.848821
55957372, 22771359.211867
55957373, 22771367.560564
55957374, 22771375.349309
55957375, 22771384.352355
55957376, 22771392.387661
55957377, 22771400.431650
55957378, 22771409.134519
55957379, 22771417.465848
55957380, 22771425.433567
55957381, 22771433.735444
55957382, 22771442.721499
55957383, 22771450.583117
55957384, 22771458.782670
55957385, 22771467.470058
55957386, 22771475.474024
55957387, 22771483.750227
55957388, 22771492.505202
55957389, 22771500.748554
55957390, 22771508.683801
55957391, 22771517.632475
55957392, 22771525.588866
55957393, 22771533.819003
55957394, 22771542.478072
55957395, 22771550.521685
55957396, 22771558.660070
55957397, 22771567.256838
55957398, 22771575.562114
55957399, 22771584.487001
55957400, 22771592.476619
55957401, 22771600.540620
55957402, 22771608.724693
55957403, 22771619.107043
55957404, 22771625.461734
55957405, 22771633.782113
55957406, 22771642.259944
55957407, 22771650.620347
55957408, 22771659.335298
55957409, 22771667.517105
55957410, 22771675.616221
55957411, 22771683.915456
55957412, 22771692.027788
55957413, 22771700.539601
55957414, 22771708.890942
55957415, 22771717.008937
55957416, 22771725.519995
55957417, 22771733.933637
55957418, 22771742.308387
55957419, 22771750.461498
55957420, 22771759.076013
55957421, 22771767.449631
55957422, 22771775.660512
55957423, 22771783.801162
55957424, 22771792.158922
55957425, 22771800.694900
55957426, 22771808.884636
55957427, 22771817.269204
55957428, 22771825.852002
55957429, 22771833.821231
55957430, 22771842.466707
55957431, 22771850.495971
55957432, 22771858.802758
55957433, 22771867.311550
55957434, 22771875.601722
55957435, 22771883.732933
55957436, 22771892.142422
55957437, 22771900.509243
55957438, 22771909.309151
55957439, 22771917.551370
55957440, 22771925.611218
55957441, 22771934.380164
55957442, 22771942.697900
55957443, 22771951.897288
55957444, 22771958.793431
55957445, 22771967.180265
55957446, 22771975.637328
55957447, 22771983.781755
55957448, 22771992.450641
55957449, 22772000.628672
55957450, 22772009.180509
55957451, 22772017.413667
55957452, 22772025.516559
55957453, 22772034.329681
55957454, 22772042.338179
55957455, 22772050.478074
55957456, 22772058.724825
55957457, 22772067.670478
55957458, 22772075.574385
55957459, 22772084.209667
55957460, 22772092.540619
55957461, 22772100.689576
55957462, 22772110.235584
55957463, 22772117.649013
55957464, 22772125.472873
55957465, 22772133.758892
55957466, 22772146.651779
55957467, 22772150.498954
55957468, 22772159.121776
55957469, 22772167.404019
55957470, 22772175.668139
55957471, 22772184.457474
55957472, 22772192.414242
55957473, 22772201.055565
55957474, 22772210.178682
55957475, 22772217.415026
55957476, 22772225.429942
55957477, 22772233.906640
55957478, 22772246.759503
55957479, 22772251.088472
55957480, 22772259.311057
55957481, 22772267.599720
55957482, 22772275.716583
55957483, 22772283.864407
55957484, 22772292.254639
55957485, 22772300.487797
55957486, 22772309.340565
55957487, 22772317.452520
55957488, 22772325.646787
55957489, 22772334.412334
55957490, 22772342.728937
55957491, 22772350.661541
55957492, 22772358.832398
55957493, 22772367.549992
55957494, 22772375.604554
55957495, 22772383.875470
55957496, 22772392.642528
55957497, 22772400.646116
55957498, 22772409.055227
55957499, 22772417.474910
55957500, 22772425.773390
55957501, 22772434.328624
55957502, 22772442.431517
55957503, 22772450.366385
55957504, 22772458.951827
55957505, 22772467.159309
55957506, 22772475.641670
55957507, 22772483.794026
55957508, 22772492.470842
55957509, 22772500.472542
55957510, 22772508.901287
55957511, 22772517.133690
55957512, 22772526.085763
55957513, 22772533.811074
55957514, 22772542.561895
55957515, 22772550.586629
55957516, 22772558.813745
55957517, 22772567.549464
55957518, 22772575.514916
55957519, 22772584.297833
55957520, 22772592.129999
55957521, 22772600.739983
55957522, 22772609.247265
55957523, 22772617.453237
55957524, 22772625.643351
55957525, 22772633.879907
55957526, 22772642.484605
55957527, 22772650.431178
55957528, 22772659.489351
55957529, 22772667.532586
55957530, 22772675.569401
55957531, 22772683.819928
55957532, 22772692.118407
55957533, 22772700.703093
55957534, 22772708.959661
55957535, 22772717.307226
55957536, 22772725.474308
55957537, 22772734.261755
55957538, 22772742.216258
55957539, 22772750.759410
55957540, 22772758.970290
55957541, 22772770.637549
55957542, 22772775.509479
55957543, 22772783.799652
55957544, 22772792.211406
55957545, 22772800.558593
55957546, 22772808.766075
55957547, 22772817.434207
55957548, 22772825.618657
55957549, 22772833.775166
55957550, 22772841.969433
55957551, 22772850.953222
55957552, 22772859.271336
55957553, 22772867.523750
55957554, 22772875.423126
55957555, 22772884.191317
55957556, 22772892.262870
55957557, 22772900.813951
55957558, 22772908.770342
55957559, 22772917.456597
55957560, 22772925.825685
55957561, 22772933.870807
55957562, 22772941.982384
55957563, 22772950.787200
55957564, 22772958.808534
55957565, 22772967.246719
55957566, 22772975.701517
55957567, 22772984.311123
