Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55887827, 22191815.482112, 0.000203, 0.000962, 0.000061, 0.000090
55887828, 22191821.873051, 0.000181, 0.000977, 0.000056, 0.000088
55887829, 22191830.395437, 0.000198, 0.000961, 0.000056, 0.000097
55887830, 22191838.527403, 0.000185, 0.000925, 0.000053, 0.000102
55887831, 22191847.015050, 0.000194, 0.001009, 0.000058, 0.000095
55887832, 22191855.337317, 0.000183, 0.000955, 0.000064, 0.000101
55887833, 22191864.061708, 0.000488, 0.000980, 0.000054, 0.000094
55887834, 22191872.184613, 0.000374, 0.000886, 0.000046, 0.000088
55887835, 22191880.187068, 0.000191, 0.000869, 0.000049, 0.000091
55887836, 22191888.713229, 0.000367, 0.000863, 0.000047, 0.000079
55887837, 22191897.222777, 0.000326, 0.000938, 0.000054, 0.000093
55887838, 22191905.176147, 0.000211, 0.000781, 0.000042, 0.000072
55887839, 22191913.819735, 0.000434, 0.000891, 0.000046, 0.000075
55887840, 22191922.106132, 0.000288, 0.000852, 0.000050, 0.000081
55887841, 22191930.175798, 0.000193, 0.000817, 0.000047, 0.000081
55887842, 22191939.101439, 0.000448, 0.000932, 0.000049, 0.000082
55887843, 22191947.216792, 0.000217, 0.000921, 0.000046, 0.000081
55887844, 22191955.172050, 0.000157, 0.000813, 0.000042, 0.000076
55887845, 22191964.101468, 0.000484, 0.000992, 0.000051, 0.000088
55887846, 22191972.095617, 0.000326, 0.000914, 0.000049, 0.000085
55887847, 22191980.176609, 0.000204, 0.000897, 0.000050, 0.000090
55887848, 22191988.557024, 0.000173, 0.000899, 0.000047, 0.000083
55887849, 22191997.074500, 0.000306, 0.000914, 0.000058, 0.000093
55887850, 22192005.178526, 0.000153, 0.000812, 0.000042, 0.000094
55887851, 22192013.788132, 0.000412, 0.000837, 0.000043, 0.000079
55887852, 22192022.085479, 0.000204, 0.000896, 0.000048, 0.000085
55887853, 22192030.371498, 0.000215, 0.000915, 0.000051, 0.000091
55887854, 22192038.621269, 0.000217, 0.000900, 0.000048, 0.000086
55887855, 22192047.217660, 0.000249, 0.000916, 0.000048, 0.000084
55887856, 22192059.552483, 0.000195, 0.000836, 0.000044, 0.000080
55887857, 22192063.598265, 0.000210, 0.000897, 0.000049, 0.000089
55887858, 22192072.520131, 0.000429, 0.000897, 0.000045, 0.000078
55887859, 22192080.577714, 0.000223, 0.000902, 0.000048, 0.000120
55887860, 22192088.907155, 0.000378, 0.000911, 0.000048, 0.000086
55887861, 22192097.247923, 0.000255, 0.000920, 0.000050, 0.000090
55887862, 22192105.144657, 0.000194, 0.000799, 0.000042, 0.000073
55887863, 22192114.564930, 0.000477, 0.000948, 0.000052, 0.000092
55887864, 22192122.011208, 0.000235, 0.000853, 0.000042, 0.000070
55887865, 22192130.327812, 0.000230, 0.000913, 0.000049, 0.000080
55887866, 22192138.821501, 0.000408, 0.000885, 0.000046, 0.000078
55887867, 22192147.240806, 0.000394, 0.000895, 0.000048, 0.000081
55887868, 22192155.393162, 0.000198, 0.000764, 0.000041, 0.000085
55887869, 22192163.448479, 0.000181, 0.000894, 0.000046, 0.000089
55887870, 22192172.032787, 0.000193, 0.000908, 0.000046, 0.000082
55887871, 22192180.327113, 0.000170, 0.000933, 0.000048, 0.000080
55887872, 22192188.442088, 0.000193, 0.000837, 0.000042, 0.000073
55887873, 22192197.407754, 0.000225, 0.000857, 0.000046, 0.000088
55887874, 22192205.156852, 0.000163, 0.000787, 0.000042, 0.000075
55887875, 22192213.883509, 0.000177, 0.000904, 0.000052, 0.000097
55887876, 22192222.317918, 0.000408, 0.000903, 0.000047, 0.000082
55887877, 22192230.888633, 0.000449, 0.001173, 0.000049, 0.000094
55887878, 22192239.021732, 0.000479, 0.000948, 0.000046, 0.000080
55887879, 22192247.408565, 0.000396, 0.000925, 0.000048, 0.000084
55887880, 22192255.162573, 0.000155, 0.000823, 0.000042, 0.000071
55887881, 22192264.194315, 0.000474, 0.000969, 0.000051, 0.000095
55887882, 22192272.158635, 0.000368, 0.000907, 0.000045, 0.000078
55887883, 22192280.568123, 0.000186, 0.000910, 0.000048, 0.000093
55887884, 22192289.198119, 0.000458, 0.001023, 0.000047, 0.000089
55887885, 22192297.350097, 0.000337, 0.000924, 0.000047, 0.000093
55887886, 22192305.378228, 0.000169, 0.000938, 0.000045, 0.000080
55887887, 22192313.998407, 0.000444, 0.000941, 0.000050, 0.000093
55887888, 22192322.288202, 0.000218, 0.000879, 0.000045, 0.000080
55887889, 22192330.266870, 0.000201, 0.000905, 0.000048, 0.000092
55887890, 22192338.917633, 0.000420, 0.000917, 0.000042, 0.000076
55887891, 22192346.919711, 0.000286, 0.000821, 0.000044, 0.000080
55887892, 22192355.231028, 0.000165, 0.000866, 0.000048, 0.000085
55887893, 22192364.267679, 0.000424, 0.001099, 0.000049, 0.000091
55887894, 22192371.975999, 0.000206, 0.000889, 0.000048, 0.000084
55887895, 22192380.247293, 0.000187, 0.000882, 0.000049, 0.000088
55887896, 22192389.003778, 0.000424, 0.000891, 0.000042, 0.000079
55887897, 22192397.342659, 0.000469, 0.000780, 0.000044, 0.000079
55887898, 22192405.235993, 0.000150, 0.000795, 0.000043, 0.000080
55887899, 22192413.862591, 0.000444, 0.000934, 0.000050, 0.000089
55887900, 22192421.993047, 0.000303, 0.000806, 0.000043, 0.000069
55887901, 22192430.231113, 0.000171, 0.000901, 0.000049, 0.000074
55887902, 22192438.823728, 0.000443, 0.000896, 0.000048, 0.000079
55887903, 22192446.777476, 0.000145, 0.000800, 0.000042, 0.000073
55887904, 22192455.250021, 0.000167, 0.000869, 0.000048, 0.000086
55887905, 22192463.563226, 0.000185, 0.000930, 0.000050, 0.000088
55887906, 22192472.290260, 0.000382, 0.000932, 0.000047, 0.000083
55887907, 22192481.274804, 0.000423, 0.001066, 0.000048, 0.000086
55887908, 22192488.588929, 0.000177, 0.000890, 0.000048, 0.000080
55887909, 22192497.107161, 0.000418, 0.000782, 0.000044, 0.000081
55887910, 22192505.421499, 0.000198, 0.000873, 0.000046, 0.000081
55887911, 22192513.939731, 0.000442, 0.000902, 0.000049, 0.000086
55887912, 22192521.990517, 0.000162, 0.000902, 0.000046, 0.000080
55887913, 22192530.603522, 0.000321, 0.001007, 0.000046, 0.000095
55887914, 22192538.550473, 0.000160, 0.000866, 0.000040, 0.000074
55887915, 22192547.320551, 0.000357, 0.000803, 0.000044, 0.000082
55887916, 22192555.594488, 0.000177, 0.000971, 0.000057, 0.000101
55887917, 22192563.857852, 0.000198, 0.001035, 0.000063, 0.000105
55887918, 22192572.143116, 0.000224, 0.000923, 0.000052, 0.000092
55887919, 22192580.372121, 0.000186, 0.000991, 0.000056, 0.000099
55887920, 22192588.705715, 0.000181, 0.000957, 0.000059, 0.000097
55887921, 22192597.130685, 0.000212, 0.000962, 0.000055, 0.000096
55887922, 22192605.312114, 0.000199, 0.000939, 0.000052, 0.000096
55887923, 22192613.671761, 0.000196, 0.000997, 0.000053, 0.000106
55887924, 22192622.006489, 0.000193, 0.000944, 0.000047, 0.000086
55887925, 22192630.250596, 0.000174, 0.000901, 0.000050, 0.000088
55887926, 22192638.925147, 0.000442, 0.000869, 0.000040, 0.000073
55887927, 22192647.184735, 0.000281, 0.000820, 0.000045, 0.000083
55887928, 22192655.336336, 0.000194, 0.000884, 0.000045, 0.000078
55887929, 22192664.243098, 0.000519, 0.000969, 0.000049, 0.000091
55887930, 22192672.240646, 0.000281, 0.000929, 0.000048, 0.000085
55887931, 22192680.230264, 0.000198, 0.000860, 0.000043, 0.000074
55887932, 22192688.613699, 0.000153, 0.000816, 0.000041, 0.000072
55887933, 22192697.244072, 0.000322, 0.000931, 0.000051, 0.000094
55887934, 22192706.392864, 0.000168, 0.000862, 0.000047, 0.000079
55887935, 22192714.772524, 0.000435, 0.000962, 0.000043, 0.000084
55887936, 22192722.295451, 0.000357, 0.000897, 0.000045, 0.000083
55887937, 22192730.137435, 0.000173, 0.000850, 0.000044, 0.000081
55887938, 22192739.964363, 0.000152, 0.000798, 0.000042, 0.000077
55887939, 22192747.209014, 0.000440, 0.000910, 0.000049, 0.000086
55887940, 22192755.337582, 0.000167, 0.000876, 0.000048, 0.000082
55887941, 22192763.397430, 0.000185, 0.000803, 0.000048, 0.000093
55887942, 22192772.150517, 0.000283, 0.000869, 0.000048, 0.000086
55887943, 22192780.199415, 0.000167, 0.000915, 0.000045, 0.000081
55887944, 22192789.594013, 0.000423, 0.000761, 0.000043, 0.000079
55887945, 22192797.274392, 0.000410, 0.000967, 0.000050, 0.000092
55887946, 22192805.194913, 0.000162, 0.000865, 0.000045, 0.000086
55887947, 22192813.930253, 0.000331, 0.000816, 0.000046, 0.000080
55887948, 22192821.976886, 0.000171, 0.000925, 0.000049, 0.000087
55887949, 22192830.552510, 0.000196, 0.000897, 0.000044, 0.000082
55887950, 22192838.736205, 0.000305, 0.000869, 0.000047, 0.000089
55887951, 22192847.160797, 0.000333, 0.000884, 0.000050, 0.000092
55887952, 22192855.568019, 0.000170, 0.000911, 0.000049, 0.000087
55887953, 22192863.741897, 0.000177, 0.000864, 0.000048, 0.000090
55887954, 22192872.149875, 0.000193, 0.000866, 0.000047, 0.000087
55887955, 22192880.509900, 0.000176, 0.000924, 0.000042, 0.000072
55887956, 22192889.803684, 0.000422, 0.000839, 0.000042, 0.000076
55887957, 22192896.931661, 0.000186, 0.000880, 0.000050, 0.000086
55887958, 22192905.237315, 0.000183, 0.000889, 0.000047, 0.000079
55887959, 22192914.129730, 0.000431, 0.000780, 0.000043, 0.000074
55887960, 22192921.973979, 0.000155, 0.000877, 0.000046, 0.000072
55887961, 22192930.614547, 0.000162, 0.000892, 0.000047, 0.000069
55887962, 22192938.840153, 0.000392, 0.000795, 0.000040, 0.000070
55887963, 22192947.667624, 0.000347, 0.000884, 0.000052, 0.000093
55887964, 22192955.394445, 0.000182, 0.000883, 0.000047, 0.000082
55887965, 22192963.491674, 0.000150, 0.000826, 0.000046, 0.000085
55887966, 22192971.924195, 0.000189, 0.000856, 0.000056, 0.000079
55887967, 22192981.128492, 0.000449, 0.001033, 0.000048, 0.000076
55887968, 22192989.052033, 0.000434, 0.000892, 0.000041, 0.000069
55887969, 22192997.552896, 0.000363, 0.000850, 0.000046, 0.000082
55887970, 22193005.353723, 0.000171, 0.000881, 0.000046, 0.000080
55887971, 22193014.023743, 0.000428, 0.000998, 0.000043, 0.000071
55887972, 22193022.111154, 0.000184, 0.000853, 0.000048, 0.000073
55887973, 22193030.798920, 0.000441, 0.001073, 0.000049, 0.000074
55887974, 22193038.778721, 0.000384, 0.000782, 0.000039, 0.000063
55887975, 22193047.342262, 0.000297, 0.000877, 0.000048, 0.000082
55887976, 22193055.369261, 0.000188, 0.000865, 0.000046, 0.000077
55887977, 22193063.596000, 0.000179, 0.000904, 0.000052, 0.000093
55887978, 22193072.558267, 0.000376, 0.000890, 0.000047, 0.000084
55887979, 22193080.288487, 0.000168, 0.000898, 0.000052, 0.000095
55887980, 22193089.860925, 0.000159, 0.000772, 0.000042, 0.000075
55887981, 22193096.960207, 0.000178, 0.000890, 0.000049, 0.000077
