Frame Number, Timestamp
55814116, 21577630.392189
55814117, 21577630.433346
55814118, 21577630.457511
55814119, 21577630.473747
55814120, 21577630.490738
55814121, 21577630.505464
55814122, 21577630.521322
55814123, 21577630.536425
55814124, 21577630.551529
55814125, 21577630.566632
55814126, 21577634.561063
55814127, 21577642.632239
55814128, 21577651.409114
55814129, 21577659.261292
55814130, 21577668.368928
55814131, 21577676.383089
55814132, 21577684.473521
55814133, 21577693.285133
55814134, 21577701.497147
55814135, 21577709.116735
55814136, 21577717.685563
55814137, 21577726.449600
55814138, 21577734.450168
55814139, 21577742.792069
55814140, 21577751.464731
55814141, 21577759.813429
55814142, 21577767.755849
55814143, 21577776.174400
55814144, 21577784.364513
55814145, 21577792.888409
55814146, 21577801.578062
55814147, 21577809.362276
55814148, 21577817.730231
55814149, 21577826.465571
55814150, 21577834.425361
55814151, 21577842.703828
55814152, 21577851.023452
55814153, 21577859.579442
55814154, 21577867.860930
55814155, 21577876.367457
55814156, 21577884.713134
55814157, 21577893.358611
55814158, 21577901.044653
55814159, 21577909.378248
55814160, 21577917.589884
55814161, 21577926.462664
55814162, 21577934.350713
55814163, 21577942.760956
55814164, 21577950.939365
55814165, 21577959.338281
55814166, 21577967.703970
55814167, 21577976.008491
55814168, 21577984.573165
55814169, 21577992.868246
55814170, 21578001.065911
55814171, 21578009.416497
55814172, 21578018.165431
55814173, 21578025.955308
55814174, 21578034.377257
55814175, 21578042.563217
55814176, 21578051.392953
55814177, 21578059.604211
55814178, 21578067.967257
55814179, 21578076.475672
55814180, 21578084.747343
55814181, 21578092.647097
55814182, 21578101.435299
55814183, 21578109.575949
55814184, 21578117.881225
55814185, 21578126.609392
55814186, 21578134.460060
55814187, 21578142.821596
55814188, 21578151.489727
55814189, 21578159.465375
55814190, 21578167.981341
55814191, 21578176.598499
55814192, 21578184.577167
55814193, 21578192.845062
55814194, 21578201.449005
55814195, 21578209.363107
55814196, 21578217.622318
55814197, 21578226.248915
55814198, 21578234.567029
55814199, 21578242.844364
55814200, 21578251.962195
55814201, 21578259.395635
55814202, 21578267.744333
55814203, 21578276.264830
55814204, 21578284.533103
55814205, 21578293.305825
55814206, 21578301.357366
55814207, 21578309.755905
55814208, 21578318.291883
55814209, 21578326.512958
55814210, 21578334.683437
55814211, 21578342.960395
55814212, 21578351.856208
55814213, 21578359.746522
55814214, 21578368.105792
55814215, 21578376.528118
55814216, 21578384.588721
55814217, 21578393.303673
55814218, 21578400.907025
55814219, 21578409.628018
55814220, 21578417.955949
55814221, 21578426.408859
55814222, 21578434.800978
55814223, 21578442.618042
55814224, 21578451.157796
55814225, 21578459.980735
55814226, 21578467.824229
55814227, 21578475.978095
55814228, 21578485.385153
55814229, 21578493.385343
55814230, 21578501.506737
55814231, 21578509.365712
55814232, 21578518.301549
55814233, 21578526.531308
55814234, 21578534.593044
55814235, 21578542.604562
55814236, 21578551.009519
55814237, 21578560.395810
55814238, 21578568.019552
55814239, 21578576.296887
55814240, 21578584.735449
55814241, 21578592.728843
55814242, 21578601.925588
55814243, 21578609.430014
55814244, 21578618.797426
55814245, 21578626.774206
55814246, 21578635.483117
55814247, 21578642.728900
55814248, 21578651.423462
55814249, 21578659.701552
55814250, 21578668.044963
55814251, 21578676.370629
55814252, 21578684.742359
55814253, 21578692.847139
55814254, 21578701.503188
55814255, 21578709.697077
55814256, 21578717.769763
55814257, 21578726.406178
55814258, 21578734.611395
55814259, 21578742.633485
55814260, 21578751.424330
55814261, 21578759.874975
55814262, 21578767.838917
55814263, 21578776.596535
55814264, 21578784.676773
55814265, 21578792.761541
55814266, 21578801.036611
55814267, 21578810.005675
55814268, 21578817.616579
55814269, 21578826.447825
55814270, 21578834.569974
55814271, 21578842.678530
55814272, 21578851.403676
55814273, 21578859.675348
55814274, 21578867.882830
55814275, 21578876.510183
55814276, 21578884.746361
55814277, 21578892.847743
55814278, 21578901.489444
55814279, 21578909.711274
55814280, 21578918.269530
55814281, 21578926.017118
55814282, 21578935.031114
55814283, 21578942.736036
55814284, 21578951.967518
55814285, 21578959.758906
55814286, 21578967.730400
55814287, 21578977.259417
55814288, 21578984.446297
55814289, 21578992.762901
55814290, 21579001.783693
55814291, 21579010.964580
55814292, 21579018.211496
55814293, 21579026.336665
55814294, 21579034.666862
55814295, 21579043.758261
55814296, 21579051.516800
55814297, 21579059.553615
55814298, 21579067.726738
55814299, 21579076.283105
55814300, 21579084.513243
55814301, 21579092.705999
55814302, 21579101.337128
55814303, 21579109.848185
55814304, 21579117.683750
55814305, 21579126.833298
55814306, 21579134.511789
55814307, 21579142.821218
55814308, 21579151.550518
55814309, 21579160.105752
55814310, 21579167.711370
55814311, 21579176.067997
55814312, 21579184.421981
55814313, 21579192.754821
55814314, 21579201.093324
55814315, 21579209.517160
55814316, 21579218.348784
55814317, 21579226.482261
55814318, 21579234.630840
55814319, 21579243.798889
55814320, 21579251.671835
55814321, 21579259.707518
55814322, 21579268.014681
55814323, 21579276.493645
55814324, 21579284.722649
55814325, 21579293.020373
55814326, 21579301.494806
55814327, 21579309.316022
55814328, 21579317.719847
55814329, 21579326.339648
55814330, 21579334.362493
55814331, 21579342.719120
55814332, 21579351.514497
55814333, 21579359.485991
55814334, 21579368.723137
55814335, 21579376.487339
55814336, 21579384.750703
55814337, 21579393.090339
55814338, 21579401.736571
55814339, 21579409.344454
55814340, 21579417.900067
55814341, 21579425.905543
55814342, 21579434.629934
55814343, 21579442.849121
55814344, 21579451.703023
55814345, 21579459.360747
55814346, 21579467.806861
55814347, 21579476.469328
55814348, 21579484.622439
55814349, 21579492.985107
55814350, 21579501.478419
55814351, 21579510.006467
55814352, 21579517.776333
55814353, 21579526.191485
55814354, 21579534.571900
55814355, 21579543.183394
55814356, 21579551.160174
55814357, 21579559.457143
55814358, 21579567.758266
55814359, 21579576.345217
55814360, 21579584.650116
55814361, 21579593.208749
55814362, 21579601.157966
55814363, 21579609.460221
55814364, 21579618.398323
55814365, 21579626.394360
55814366, 21579634.710963
55814367, 21579642.703979
55814368, 21579651.092323
55814369, 21579659.612820
55814370, 21579668.276798
55814371, 21579676.347974
55814372, 21579684.502595
55814373, 21579692.650419
55814374, 21579701.518669
55814375, 21579709.463355
55814376, 21579719.352961
55814377, 21579729.913530
55814378, 21579734.516244
55814379, 21579742.611963
55814380, 21579751.581782
55814381, 21579759.573287
55814382, 21579767.702988
55814383, 21579776.113987
55814384, 21579784.607298
55814385, 21579792.729447
55814386, 21579801.412682
55814387, 21579809.395881
55814388, 21579817.721924
55814389, 21579826.072887
55814390, 21579834.727803
55814391, 21579842.825032
55814392, 21579851.576609
55814393, 21579859.504303
55814394, 21579868.352541
55814395, 21579876.551717
55814396, 21579884.788650
55814397, 21579892.927035
55814398, 21579901.099403
55814399, 21579909.783770
55814400, 21579917.762061
55814401, 21579926.018251
55814402, 21579934.406972
55814403, 21579942.957298
55814404, 21579951.604285
55814405, 21579959.718128
55814406, 21579967.730778
55814407, 21579976.463853
55814408, 21579984.405896
55814409, 21579993.894134
55814410, 21580002.328165
55814411, 21580009.681936
55814412, 21580017.755755
55814413, 21580026.358943
55814414, 21580034.554720
55814415, 21580042.797317
55814416, 21580051.180375
55814417, 21580059.524919
55814418, 21580067.642537
55814419, 21580076.033902
55814420, 21580084.727709
55814421, 21580092.918200
55814422, 21580101.363936
55814423, 21580109.436622
55814424, 21580118.412104
55814425, 21580126.546714
55814426, 21580134.651494
55814427, 21580142.812911
55814428, 21580151.905444
55814429, 21580159.630000
55814430, 21580167.972279
55814431, 21580176.535820
55814432, 21580184.814666
55814433, 21580192.846950
55814434, 21580201.048014
55814435, 21580209.651201
55814436, 21580217.933822
55814437, 21580226.510202
55814438, 21580234.852103
55814439, 21580242.876836
55814440, 21580251.484932
55814441, 21580259.468131
55814442, 21580267.836463
55814443, 21580278.151226
55814444, 21580284.669033
55814445, 21580293.379453
55814446, 21580301.693413
55814447, 21580309.467433
55814448, 21580317.932803
55814449, 21580327.373465
55814450, 21580334.433856
55814451, 21580342.862979
55814452, 21580351.627771
55814453, 21580359.312303
55814454, 21580368.352730
55814455, 21580379.133806
55814456, 21580384.468273
55814457, 21580393.443378
55814458, 21580401.591957
55814459, 21580409.642744
55814460, 21580418.489093
55814461, 21580426.508918
55814462, 21580434.621250
55814463, 21580442.830998
55814464, 21580452.082114
55814465, 21580459.312794
55814466, 21580468.479710
55814467, 21580476.320561
55814468, 21580484.603182
55814469, 21580492.653591
55814470, 21580501.442171
55814471, 21580509.751978
55814472, 21580517.700817
55814473, 21580526.531308
55814474, 21580534.528100
55814475, 21580543.284586
55814476, 21580551.618935
55814477, 21580559.462807
55814478, 21580567.725416
55814479, 21580576.347861
55814480, 21580584.734316
55814481, 21580592.855710
55814482, 21580601.543098
55814483, 21580609.248398
55814484, 21580618.180458
55814485, 21580626.096826
55814486, 21580634.691706
55814487, 21580642.946386
55814488, 21580651.092701
55814489, 21580659.467829
55814490, 21580667.849754
55814491, 21580676.403478
55814492, 21580684.491645
55814493, 21580692.751611
55814494, 21580701.449571
55814495, 21580709.564546
55814496, 21580717.753905
55814497, 21580726.161883
55814498, 21580734.627253
55814499, 21580744.550842
55814500, 21580751.479835
