Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55860296, 21962393.748463, 0.000208, 0.000916, 0.000052, 0.000085
55860297, 21962395.423413, 0.000298, 0.000883, 0.000047, 0.000076
55860298, 21962403.745303, 0.000176, 0.000915, 0.000051, 0.000090
55860299, 21962411.846685, 0.000147, 0.000824, 0.000043, 0.000076
55860300, 21962420.348681, 0.000180, 0.000899, 0.000050, 0.000089
55860301, 21962428.798193, 0.000327, 0.000779, 0.000041, 0.000076
55860302, 21962437.425545, 0.000181, 0.000908, 0.000049, 0.000091
55860303, 21962445.951706, 0.000448, 0.000948, 0.000045, 0.000081
55860304, 21962453.802752, 0.000177, 0.000918, 0.000047, 0.000089
55860305, 21962462.043839, 0.000167, 0.000832, 0.000041, 0.000069
55860306, 21962470.565091, 0.000184, 0.000904, 0.000050, 0.000087
55860307, 21962478.829588, 0.000218, 0.000895, 0.000047, 0.000080
55860308, 21962486.944941, 0.000178, 0.000910, 0.000052, 0.000092
55860309, 21962495.563987, 0.000402, 0.000894, 0.000047, 0.000080
55860310, 21962503.629499, 0.000183, 0.000874, 0.000051, 0.000092
55860311, 21962511.764108, 0.000149, 0.000809, 0.000041, 0.000072
55860312, 21962520.309903, 0.000177, 0.000931, 0.000049, 0.000091
55860313, 21962528.874955, 0.000344, 0.000876, 0.000045, 0.000081
55860314, 21962536.992950, 0.000176, 0.000941, 0.000049, 0.000088
55860315, 21962545.624456, 0.000438, 0.000911, 0.000047, 0.000083
55860316, 21962553.644659, 0.000178, 0.000913, 0.000050, 0.000088
55860317, 21962562.801380, 0.000456, 0.000994, 0.000042, 0.000071
55860318, 21962570.377169, 0.000177, 0.000935, 0.000049, 0.000088
55860319, 21962578.696793, 0.000215, 0.000843, 0.000047, 0.000080
55860320, 21962587.010753, 0.000183, 0.000961, 0.000050, 0.000084
55860321, 21962595.704183, 0.000420, 0.000951, 0.000048, 0.000085
55860322, 21962603.640939, 0.000177, 0.000913, 0.000049, 0.000080
55860323, 21962611.869944, 0.000171, 0.000801, 0.000043, 0.000073
55860324, 21962620.303220, 0.000169, 0.000886, 0.000050, 0.000088
55860325, 21962628.670419, 0.000176, 0.000936, 0.000049, 0.000088
55860326, 21962636.948887, 0.000182, 0.000908, 0.000050, 0.000086
55860327, 21962645.478823, 0.000334, 0.000881, 0.000048, 0.000085
55860328, 21962653.621362, 0.000169, 0.000905, 0.000048, 0.000077
55860329, 21962661.978744, 0.000168, 0.000930, 0.000049, 0.000081
55860330, 21962670.402580, 0.000213, 0.000933, 0.000052, 0.000082
55860331, 21962678.880788, 0.000268, 0.000939, 0.000049, 0.000088
55860332, 21962686.974996, 0.000189, 0.000849, 0.000044, 0.000078
55860333, 21962695.316143, 0.000204, 0.000829, 0.000044, 0.000078
55860334, 21962703.545902, 0.000175, 0.000808, 0.000044, 0.000070
55860335, 21962711.967851, 0.000176, 0.000949, 0.000048, 0.000076
55860336, 21962720.328631, 0.000164, 0.000928, 0.000045, 0.000075
55860337, 21962728.634285, 0.000180, 0.000915, 0.000047, 0.000079
55860338, 21962737.006392, 0.000181, 0.000946, 0.000048, 0.000086
55860339, 21962745.562005, 0.000370, 0.000877, 0.000044, 0.000090
55860340, 21962753.498761, 0.000154, 0.000826, 0.000044, 0.000078
55860341, 21962762.314527, 0.000175, 0.000906, 0.000047, 0.000088
55860342, 21962770.334351, 0.000192, 0.000891, 0.000048, 0.000087
55860343, 21962778.569397, 0.000181, 0.000889, 0.000047, 0.000078
55860344, 21962786.984549, 0.000170, 0.000913, 0.000047, 0.000073
55860345, 21962795.572633, 0.000333, 0.000873, 0.000047, 0.000080
55860346, 21962803.681190, 0.000203, 0.000787, 0.000046, 0.000082
55860347, 21962812.038949, 0.000217, 0.000884, 0.000047, 0.000085
55860348, 21962820.797323, 0.000451, 0.000984, 0.000051, 0.000091
55860349, 21962828.713312, 0.000211, 0.000887, 0.000048, 0.000080
55860350, 21962837.142812, 0.000213, 0.000853, 0.000046, 0.000100
55860351, 21962845.633858, 0.000447, 0.000788, 0.000042, 0.000073
55860352, 21962853.500762, 0.000157, 0.000826, 0.000044, 0.000081
55860353, 21962862.018617, 0.000225, 0.000895, 0.000046, 0.000082
55860354, 21962870.169839, 0.000161, 0.000815, 0.000048, 0.000088
55860355, 21962878.753393, 0.000277, 0.000812, 0.000041, 0.000077
55860356, 21962887.194975, 0.000229, 0.000934, 0.000052, 0.000100
55860357, 21962895.339779, 0.000200, 0.000948, 0.000048, 0.000085
55860358, 21962903.499686, 0.000156, 0.000801, 0.000045, 0.000084
55860359, 21962912.023959, 0.000182, 0.000847, 0.000041, 0.000072
55860360, 21962920.304692, 0.000190, 0.000861, 0.000045, 0.000088
55860361, 21962928.748163, 0.000218, 0.000935, 0.000047, 0.000085
55860362, 21962937.023232, 0.000212, 0.000896, 0.000050, 0.000093
55860363, 21962945.690609, 0.000398, 0.000903, 0.000046, 0.000083
55860364, 21962953.534858, 0.000153, 0.000842, 0.000042, 0.000079
55860365, 21962962.429538, 0.000427, 0.001038, 0.000045, 0.000081
55860366, 21962970.322495, 0.000185, 0.000899, 0.000048, 0.000086
55860367, 21962978.733494, 0.000182, 0.000884, 0.000050, 0.000080
55860368, 21962987.061047, 0.000169, 0.000910, 0.000049, 0.000087
55860369, 21962995.669521, 0.000367, 0.000903, 0.000048, 0.000088
55860370, 21963003.515280, 0.000156, 0.000826, 0.000043, 0.000078
55860371, 21963012.079577, 0.000166, 0.000900, 0.000049, 0.000085
55860372, 21963020.313490, 0.000174, 0.000913, 0.000048, 0.000086
55860373, 21963028.702589, 0.000206, 0.000839, 0.000043, 0.000070
55860374, 21963036.960290, 0.000167, 0.000804, 0.000046, 0.000068
55860375, 21963045.287465, 0.000153, 0.000766, 0.000041, 0.000065
55860376, 21963053.961260, 0.000195, 0.001000, 0.000051, 0.000087
55860377, 21963062.083032, 0.000203, 0.000935, 0.000050, 0.000086
55860378, 21963070.467600, 0.000192, 0.000921, 0.000050, 0.000089
55860379, 21963078.720014, 0.000196, 0.000903, 0.000047, 0.000084
55860380, 21963087.110246, 0.000205, 0.000906, 0.000043, 0.000082
55860381, 21963095.636029, 0.000367, 0.000818, 0.000045, 0.000080
55860382, 21963103.662650, 0.000156, 0.000761, 0.000047, 0.000083
55860383, 21963112.454628, 0.000449, 0.000941, 0.000048, 0.000089
55860384, 21963120.327574, 0.000164, 0.000868, 0.000045, 0.000075
55860385, 21963128.702325, 0.000179, 0.000871, 0.000047, 0.000087
55860386, 21963137.046869, 0.000215, 0.000899, 0.000045, 0.000080
55860387, 21963145.579449, 0.000383, 0.000831, 0.000042, 0.000075
55860388, 21963153.800902, 0.000178, 0.000794, 0.000045, 0.000079
55860389, 21963162.369352, 0.000154, 0.000811, 0.000044, 0.000075
55860390, 21963170.365011, 0.000165, 0.000872, 0.000051, 0.000091
