Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55024834, 15000166.852751, 0.000162, 0.001023, 0.000050, 0.000078
55024835, 15000167.373435, 0.000331, 0.001016, 0.000048, 0.000076
55024836, 15000178.543042, 0.000468, 0.001189, 0.000050, 0.000094
55024837, 15000183.801993, 0.000316, 0.001001, 0.000047, 0.000086
55024838, 15000192.116331, 0.000300, 0.000954, 0.000042, 0.000076
55024839, 15000200.797678, 0.000412, 0.001144, 0.000046, 0.000079
55024840, 15000208.877537, 0.000313, 0.001038, 0.000052, 0.000086
55024841, 15000217.081244, 0.000251, 0.000989, 0.000046, 0.000081
55024842, 15000225.785623, 0.000421, 0.001111, 0.000048, 0.000080
55024843, 15000233.737483, 0.000265, 0.001018, 0.000046, 0.000080
55024844, 15000241.936659, 0.000244, 0.000896, 0.000047, 0.000075
55024845, 15000250.235138, 0.000171, 0.001029, 0.000049, 0.000084
55024846, 15000259.138503, 0.000417, 0.001046, 0.000047, 0.000086
55024847, 15000267.083944, 0.000276, 0.000987, 0.000049, 0.000076
55024848, 15000275.784170, 0.000421, 0.001282, 0.000047, 0.000076
55024849, 15000283.972395, 0.000419, 0.001044, 0.000044, 0.000080
55024850, 15000292.560857, 0.000422, 0.001264, 0.000042, 0.000072
55024851, 15000300.428139, 0.000163, 0.000968, 0.000046, 0.000080
55024852, 15000309.152152, 0.000422, 0.001191, 0.000047, 0.000088
55024853, 15000317.051151, 0.000250, 0.001010, 0.000045, 0.000081
55024854, 15000326.120651, 0.000433, 0.001148, 0.000046, 0.000077
55024855, 15000333.925254, 0.000425, 0.001077, 0.000047, 0.000083
55024856, 15000341.806507, 0.000158, 0.000932, 0.000041, 0.000071
55024857, 15000350.426685, 0.000159, 0.000993, 0.000048, 0.000090
55024858, 15000358.627371, 0.000174, 0.001092, 0.000046, 0.000084
55024859, 15000367.017225, 0.000173, 0.001078, 0.000047, 0.000086
55024860, 15000375.615882, 0.000419, 0.001040, 0.000041, 0.000069
55024861, 15000383.559057, 0.000158, 0.000912, 0.000041, 0.000066
55024862, 15000392.096168, 0.000221, 0.000987, 0.000046, 0.000082
55024863, 15000400.838305, 0.000426, 0.001259, 0.000048, 0.000085
55024864, 15000408.675758, 0.000166, 0.000969, 0.000045, 0.000086
55024865, 15000417.604421, 0.000260, 0.001059, 0.000047, 0.000085
55024866, 15000425.301413, 0.000170, 0.000997, 0.000043, 0.000081
55024867, 15000433.940848, 0.000432, 0.000993, 0.000045, 0.000073
55024868, 15000442.174384, 0.000190, 0.001103, 0.000046, 0.000084
55024869, 15000451.488557, 0.000437, 0.001085, 0.000042, 0.000077
55024870, 15000458.914824, 0.000408, 0.001076, 0.000045, 0.000076
55024871, 15000467.418707, 0.000241, 0.001057, 0.000048, 0.000075
55024872, 15000475.640538, 0.000414, 0.001027, 0.000047, 0.000081
55024873, 15000483.824610, 0.000395, 0.000951, 0.000043, 0.000076
55024874, 15000492.080045, 0.000223, 0.000995, 0.000049, 0.000085
55024875, 15000500.326796, 0.000205, 0.001044, 0.000048, 0.000086
55024876, 15000509.194290, 0.000264, 0.000987, 0.000047, 0.000083
55024877, 15000517.299826, 0.000307, 0.000981, 0.000047, 0.000081
55024878, 15000525.488052, 0.000208, 0.001020, 0.000046, 0.000077
55024879, 15000533.934920, 0.000385, 0.000947, 0.000042, 0.000070
55024880, 15000542.025353, 0.000183, 0.000995, 0.000051, 0.000082
55024881, 15000550.322699, 0.000176, 0.001053, 0.000045, 0.000081
55024882, 15000558.729922, 0.000170, 0.001069, 0.000049, 0.000088
55024883, 15000567.020095, 0.000176, 0.001022, 0.000050, 0.000082
55024884, 15000575.291388, 0.000172, 0.001014, 0.000048, 0.000091
55024885, 15000583.911189, 0.000255, 0.000913, 0.000044, 0.000076
55024886, 15000592.242518, 0.000234, 0.001088, 0.000048, 0.000086
55024887, 15000600.343145, 0.000189, 0.001014, 0.000047, 0.000077
55024888, 15000608.666168, 0.000178, 0.001030, 0.000047, 0.000085
55024889, 15000616.955207, 0.000170, 0.000989, 0.000047, 0.000081
55024890, 15000625.268413, 0.000173, 0.001040, 0.000049, 0.000086
55024891, 15000634.379069, 0.000433, 0.001064, 0.000042, 0.000075
55024892, 15000642.092675, 0.000176, 0.001079, 0.000047, 0.000091
55024893, 15000651.387592, 0.000417, 0.001078, 0.000046, 0.000081
55024894, 15000658.730035, 0.000215, 0.000979, 0.000047, 0.000082
55024895, 15000666.873329, 0.000171, 0.000959, 0.000041, 0.000069
55024896, 15000675.785378, 0.000455, 0.001062, 0.000045, 0.000078
55024897, 15000683.552978, 0.000153, 0.000957, 0.000050, 0.000085
55024898, 15000692.337405, 0.000215, 0.001120, 0.000050, 0.000089
55024899, 15000700.195247, 0.000181, 0.000984, 0.000046, 0.000080
55024900, 15000709.078599, 0.000418, 0.001046, 0.000045, 0.000081
55024901, 15000716.837893, 0.000172, 0.000898, 0.000039, 0.000068
55024902, 15000725.835275, 0.000445, 0.000949, 0.000040, 0.000074
55024903, 15000733.843772, 0.000426, 0.000926, 0.000043, 0.000081
55024904, 15000742.377107, 0.000182, 0.001028, 0.000046, 0.000084
55024905, 15000750.217203, 0.000163, 0.001038, 0.000047, 0.000085
55024906, 15000758.778479, 0.000169, 0.001030, 0.000046, 0.000084
55024907, 15000766.950469, 0.000164, 0.000962, 0.000042, 0.000070
55024908, 15000775.801350, 0.000427, 0.001080, 0.000041, 0.000067
55024909, 15000783.888006, 0.000183, 0.000917, 0.000044, 0.000075
55024910, 15000792.740775, 0.000452, 0.001236, 0.000049, 0.000085
55024911, 15000800.320717, 0.000172, 0.001038, 0.000048, 0.000086
55024912, 15000809.235409, 0.000418, 0.001096, 0.000047, 0.000086
55024913, 15000817.712484, 0.000169, 0.001091, 0.000050, 0.000092
55024914, 15000825.181795, 0.000183, 0.000907, 0.000040, 0.000074
55024915, 15000833.949231, 0.000210, 0.001120, 0.000046, 0.000089
55024916, 15000842.208442, 0.000162, 0.001000, 0.000045, 0.000079
55024917, 15000850.830508, 0.000487, 0.001111, 0.000047, 0.000084
55024918, 15000859.244905, 0.000463, 0.001091, 0.000045, 0.000080
55024919, 15000866.969839, 0.000182, 0.001017, 0.000047, 0.000085
55024920, 15000875.316271, 0.000152, 0.000887, 0.000040, 0.000073
55024921, 15000883.885476, 0.000175, 0.001034, 0.000048, 0.000092
55024922, 15000892.235684, 0.000168, 0.001087, 0.000046, 0.000084
55024923, 15000900.997456, 0.000171, 0.001005, 0.000047, 0.000083
55024924, 15000909.118094, 0.000408, 0.001029, 0.000047, 0.000082
55024925, 15000917.751488, 0.000277, 0.001067, 0.000040, 0.000071
55024926, 15000925.260823, 0.000150, 0.000939, 0.000044, 0.000073
55024927, 15000933.768483, 0.000180, 0.001012, 0.000054, 0.000083
55024928, 15000942.191564, 0.000282, 0.000975, 0.000047, 0.000085
55024929, 15000950.837796, 0.000414, 0.001209, 0.000045, 0.000073
55024930, 15000959.041880, 0.000221, 0.001051, 0.000048, 0.000083
55024931, 15000967.631097, 0.000233, 0.001010, 0.000047, 0.000083
55024932, 15000975.029800, 0.000150, 0.000881, 0.000042, 0.000077
55024933, 15000984.373802, 0.000427, 0.001144, 0.000046, 0.000084
55024934, 15000992.805945, 0.000425, 0.001351, 0.000049, 0.000090
55024935, 15001001.068177, 0.000185, 0.001020, 0.000046, 0.000084
