Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55018030, 14943465.110931, 0.000158, 0.000904, 0.000044, 0.000074
55018031, 14943466.426801, 0.000168, 0.000956, 0.000045, 0.000081
55018032, 14943474.851015, 0.000163, 0.000923, 0.000045, 0.000084
55018033, 14943483.447029, 0.000377, 0.001016, 0.000046, 0.000081
55018034, 14943491.541992, 0.000177, 0.001021, 0.000046, 0.000088
55018035, 14943500.258076, 0.000380, 0.000946, 0.000041, 0.000072
55018036, 14943508.262798, 0.000166, 0.000994, 0.000043, 0.000076
55018037, 14943516.530693, 0.000180, 0.001001, 0.000045, 0.000080
55018038, 14943525.292464, 0.000410, 0.001048, 0.000045, 0.000075
55018039, 14943533.369304, 0.000300, 0.000905, 0.000041, 0.000067
55018040, 14943541.627004, 0.000198, 0.000987, 0.000047, 0.000085
55018041, 14943550.608906, 0.000228, 0.000981, 0.000047, 0.000099
55018042, 14943558.114842, 0.000165, 0.000879, 0.000040, 0.000073
55018043, 14943566.632696, 0.000183, 0.000992, 0.000047, 0.000086
55018044, 14943575.144132, 0.000171, 0.001078, 0.000046, 0.000081
55018045, 14943584.105266, 0.000183, 0.000987, 0.000046, 0.000078
55018046, 14943591.718436, 0.000168, 0.001034, 0.000046, 0.000075
55018047, 14943600.366933, 0.000475, 0.001145, 0.000046, 0.000075
55018048, 14943608.262533, 0.000314, 0.000873, 0.000040, 0.000071
55018049, 14943616.628977, 0.000182, 0.001021, 0.000049, 0.000084
55018050, 14943624.741309, 0.000166, 0.000967, 0.000048, 0.000083
55018051, 14943633.511765, 0.000375, 0.001008, 0.000048, 0.000085
55018052, 14943641.527436, 0.000185, 0.000947, 0.000045, 0.000081
55018053, 14943650.165739, 0.000461, 0.000966, 0.000043, 0.000083
55018054, 14943658.819900, 0.000349, 0.000900, 0.000040, 0.000075
55018055, 14943666.451193, 0.000169, 0.000984, 0.000048, 0.000090
55018056, 14943675.051360, 0.000179, 0.001019, 0.000046, 0.000089
55018057, 14943683.404966, 0.000187, 0.001125, 0.000056, 0.000101
55018058, 14943691.942455, 0.000181, 0.001079, 0.000043, 0.000081
55018059, 14943701.053111, 0.000444, 0.000959, 0.000046, 0.000081
55018060, 14943708.670434, 0.000370, 0.000877, 0.000040, 0.000073
55018061, 14943716.462200, 0.000157, 0.000883, 0.000046, 0.000081
55018062, 14943725.330449, 0.000407, 0.000981, 0.000047, 0.000084
55018063, 14943733.609294, 0.000397, 0.001041, 0.000047, 0.000081
55018064, 14943741.768069, 0.000182, 0.000980, 0.000037, 0.000072
55018065, 14943749.925710, 0.000193, 0.001040, 0.000051, 0.000090
55018066, 14943758.267612, 0.000170, 0.000967, 0.000046, 0.000085
55018067, 14943766.657466, 0.000184, 0.001014, 0.000048, 0.000089
55018068, 14943775.178341, 0.000293, 0.000947, 0.000048, 0.000087
55018069, 14943783.458319, 0.000253, 0.000998, 0.000047, 0.000082
55018070, 14943791.925954, 0.000203, 0.001017, 0.000044, 0.000081
55018071, 14943800.244068, 0.000467, 0.000869, 0.000040, 0.000074
55018072, 14943808.282016, 0.000233, 0.000891, 0.000042, 0.000079
55018073, 14943816.587670, 0.000197, 0.000960, 0.000045, 0.000083
55018074, 14943825.111565, 0.000273, 0.000976, 0.000048, 0.000090
55018075, 14943834.950954, 0.000204, 0.000988, 0.000045, 0.000086
55018076, 14943842.774813, 0.000437, 0.001163, 0.000048, 0.000085
55018077, 14943850.374013, 0.000413, 0.001036, 0.000047, 0.000082
55018078, 14943858.283206, 0.000163, 0.000884, 0.000044, 0.000077
55018079, 14943866.575644, 0.000201, 0.000952, 0.000044, 0.000077
55018080, 14943875.049699, 0.000202, 0.000943, 0.000045, 0.000068
55018081, 14943883.413122, 0.000199, 0.001011, 0.000046, 0.000083
55018082, 14943891.889442, 0.000206, 0.001091, 0.000047, 0.000078
55018083, 14943899.825821, 0.000165, 0.000916, 0.000042, 0.000073
55018084, 14943908.655935, 0.000395, 0.000990, 0.000045, 0.000077
