Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55811186, 21553136.380816, 0.000472, 0.000848, 0.000048, 0.000077
55811187, 21553142.902398, 0.000239, 0.000971, 0.000050, 0.000079
55811188, 21553150.975462, 0.000162, 0.000773, 0.000043, 0.000076
55811189, 21553159.641705, 0.000308, 0.000861, 0.000057, 0.000085
55811190, 21553167.650957, 0.000166, 0.000838, 0.000047, 0.000080
55811191, 21553176.667974, 0.000416, 0.001142, 0.000047, 0.000086
55811192, 21553184.223374, 0.000155, 0.000749, 0.000045, 0.000076
55811193, 21553192.571694, 0.000157, 0.000767, 0.000042, 0.000076
55811194, 21553201.084639, 0.000161, 0.000842, 0.000050, 0.000091
55811195, 21553209.821490, 0.000434, 0.000940, 0.000053, 0.000087
55811196, 21553218.004808, 0.000378, 0.000859, 0.000048, 0.000085
55811197, 21553225.921552, 0.000172, 0.000803, 0.000048, 0.000088
55811198, 21553234.687100, 0.000446, 0.000838, 0.000048, 0.000092
55811199, 21553242.714098, 0.000162, 0.000746, 0.000042, 0.000076
55811200, 21553250.968023, 0.000166, 0.000843, 0.000053, 0.000089
55811201, 21553259.727152, 0.000455, 0.000860, 0.000050, 0.000085
55811202, 21553267.963708, 0.000388, 0.000814, 0.000049, 0.000088
55811203, 21553275.970695, 0.000156, 0.000777, 0.000048, 0.000077
55811204, 21553284.292207, 0.000167, 0.000805, 0.000048, 0.000080
55811205, 21553292.774946, 0.000187, 0.000853, 0.000045, 0.000080
55811206, 21553301.174994, 0.000166, 0.000848, 0.000050, 0.000089
55811207, 21553309.589014, 0.000299, 0.000816, 0.000047, 0.000083
55811208, 21553317.831611, 0.000165, 0.000931, 0.000054, 0.000091
55811209, 21553330.767165, 0.000162, 0.000853, 0.000049, 0.000088
55811210, 21553334.943213, 0.000427, 0.000880, 0.000049, 0.000084
55811211, 21553342.692312, 0.000244, 0.000730, 0.000042, 0.000068
55811212, 21553351.102178, 0.000193, 0.000782, 0.000045, 0.000065
55811213, 21553359.373849, 0.000170, 0.000846, 0.000048, 0.000075
55811214, 21553367.802216, 0.000170, 0.000852, 0.000048, 0.000086
55811215, 21553376.139587, 0.000167, 0.000868, 0.000050, 0.000083
55811216, 21553384.756367, 0.000450, 0.000853, 0.000047, 0.000080
55811217, 21553393.001230, 0.000249, 0.000746, 0.000044, 0.000076
55811218, 21553401.004063, 0.000171, 0.000825, 0.000049, 0.000084
55811219, 21553409.468679, 0.000166, 0.000890, 0.000052, 0.000094
55811220, 21553418.429435, 0.000247, 0.000876, 0.000048, 0.000081
55811221, 21553426.005224, 0.000162, 0.000863, 0.000053, 0.000089
55811222, 21553434.698276, 0.000429, 0.000922, 0.000049, 0.000085
55811223, 21553442.747930, 0.000312, 0.000772, 0.000044, 0.000080
55811224, 21553451.029418, 0.000178, 0.000842, 0.000048, 0.000083
55811225, 21553459.828193, 0.000448, 0.001029, 0.000058, 0.000090
55811226, 21553467.703403, 0.000184, 0.000809, 0.000046, 0.000080
55811227, 21553476.111759, 0.000178, 0.000881, 0.000050, 0.000088
55811228, 21553484.500858, 0.000189, 0.000830, 0.000048, 0.000081
55811229, 21553493.831644, 0.000370, 0.000760, 0.000043, 0.000068
55811230, 21553501.851469, 0.000162, 0.000837, 0.000048, 0.000079
55811231, 21553510.089535, 0.000411, 0.000932, 0.000050, 0.000091
55811232, 21553518.031578, 0.000257, 0.000825, 0.000048, 0.000079
55811233, 21553526.026482, 0.000171, 0.000870, 0.000049, 0.000076
55811234, 21553535.388986, 0.000463, 0.000924, 0.000044, 0.000075
55811235, 21553543.044067, 0.000370, 0.000794, 0.000044, 0.000077
55811236, 21553551.515856, 0.000160, 0.000834, 0.000049, 0.000082
55811237, 21553559.938937, 0.000441, 0.000973, 0.000056, 0.000088
55811238, 21553568.218160, 0.000226, 0.000843, 0.000047, 0.000080
55811239, 21553575.942716, 0.000171, 0.000811, 0.000055, 0.000076
55811240, 21553584.806812, 0.000327, 0.000786, 0.000044, 0.000076
55811241, 21553592.565350, 0.000140, 0.000719, 0.000040, 0.000071
55811242, 21553601.071877, 0.000176, 0.000835, 0.000049, 0.000093
55811243, 21553610.034144, 0.000401, 0.000830, 0.000047, 0.000083
55811244, 21553617.937674, 0.000179, 0.000820, 0.000050, 0.000087
55811245, 21553626.112684, 0.000183, 0.000862, 0.000045, 0.000090
55811246, 21553634.666031, 0.000421, 0.000808, 0.000045, 0.000082
55811247, 21553642.791956, 0.000313, 0.000743, 0.000042, 0.000073
55811248, 21553651.205975, 0.000193, 0.000861, 0.000050, 0.000090
55811249, 21553660.012301, 0.000421, 0.000985, 0.000049, 0.000090
55811250, 21553667.913565, 0.000195, 0.000880, 0.000047, 0.000090
55811251, 21553676.081401, 0.000164, 0.000870, 0.000046, 0.000083
55811252, 21553684.464082, 0.000170, 0.000811, 0.000045, 0.000087
55811253, 21553692.975139, 0.000425, 0.000828, 0.000048, 0.000084
55811254, 21553701.918905, 0.000412, 0.001101, 0.000047, 0.000077
55811255, 21553709.314965, 0.000162, 0.000836, 0.000045, 0.000079
55811256, 21553717.883038, 0.000232, 0.000897, 0.000049, 0.000082
55811257, 21553725.973847, 0.000173, 0.000819, 0.000046, 0.000079
55811258, 21553734.501141, 0.000303, 0.000825, 0.000045, 0.000078
55811259, 21553742.825296, 0.000224, 0.000820, 0.000049, 0.000081
55811260, 21553751.071292, 0.000178, 0.000809, 0.000048, 0.000088
55811261, 21553759.774538, 0.000445, 0.000823, 0.000047, 0.000083
55811262, 21553767.718091, 0.000186, 0.000859, 0.000047, 0.000081
55811263, 21553776.156653, 0.000168, 0.000834, 0.000048, 0.000079
55811264, 21553784.305233, 0.000147, 0.000752, 0.000042, 0.000067
55811265, 21553794.583748, 0.000385, 0.000891, 0.000050, 0.000079
55811266, 21553801.124210, 0.000192, 0.000854, 0.000048, 0.000079
55811267, 21553809.498205, 0.000154, 0.000891, 0.000047, 0.000073
55811268, 21553819.354207, 0.000224, 0.000806, 0.000040, 0.000063
55811269, 21553826.019648, 0.000157, 0.000813, 0.000048, 0.000073
55811270, 21553834.629254, 0.000430, 0.000750, 0.000042, 0.000076
55811271, 21553842.753669, 0.000172, 0.000779, 0.000043, 0.000077
55811272, 21553851.971181, 0.000149, 0.000782, 0.000046, 0.000077
55811273, 21553859.246415, 0.000159, 0.000777, 0.000046, 0.000087
55811274, 21553867.919833, 0.000190, 0.000811, 0.000051, 0.000084
55811275, 21553876.012153, 0.000163, 0.000936, 0.000050, 0.000084
55811276, 21553884.718798, 0.000384, 0.000778, 0.000040, 0.000074
55811277, 21553892.738245, 0.000164, 0.000821, 0.000049, 0.000088
55811278, 21553901.277621, 0.000203, 0.000838, 0.000048, 0.000082
55811279, 21553909.803782, 0.000409, 0.000913, 0.000050, 0.000090
55811280, 21553918.021837, 0.000263, 0.000860, 0.000048, 0.000082
55811281, 21553925.934806, 0.000158, 0.000821, 0.000047, 0.000087
55811282, 21553935.321852, 0.000148, 0.000797, 0.000042, 0.000072
55811283, 21553942.742077, 0.000214, 0.000846, 0.000050, 0.000090
55811284, 21553951.967141, 0.000158, 0.000800, 0.000046, 0.000077
55811285, 21553959.797042, 0.000416, 0.001007, 0.000048, 0.000082
55811286, 21553967.886342, 0.000164, 0.000829, 0.000044, 0.000074
55811287, 21553975.901257, 0.000151, 0.000739, 0.000043, 0.000072
55811288, 21553984.378333, 0.000184, 0.000896, 0.000049, 0.000082
55811289, 21553992.631880, 0.000169, 0.000843, 0.000050, 0.000084
55811290, 21554001.441604, 0.000410, 0.001002, 0.000048, 0.000078
55811291, 21554009.645311, 0.000399, 0.000885, 0.000048, 0.000075
55811292, 21554017.722528, 0.000167, 0.000861, 0.000048, 0.000074
55811293, 21554026.287957, 0.000181, 0.000769, 0.000040, 0.000068
55811294, 21554034.618909, 0.000329, 0.000739, 0.000042, 0.000073
55811295, 21554043.298368, 0.000154, 0.000798, 0.000049, 0.000076
55811296, 21554051.987266, 0.000165, 0.000800, 0.000049, 0.000088
55811297, 21554060.057309, 0.000431, 0.000949, 0.000048, 0.000086
55811298, 21554067.765251, 0.000235, 0.000810, 0.000043, 0.000076
55811299, 21554075.937619, 0.000157, 0.000741, 0.000042, 0.000070
55811300, 21554084.459626, 0.000154, 0.000767, 0.000045, 0.000080
55811301, 21554092.887993, 0.000233, 0.000822, 0.000048, 0.000080
55811302, 21554101.382060, 0.000189, 0.000845, 0.000050, 0.000090
55811303, 21554110.170262, 0.000440, 0.000886, 0.000048, 0.000085
55811304, 21554118.569556, 0.000192, 0.000866, 0.000048, 0.000085
55811305, 21554125.838371, 0.000149, 0.000731, 0.000040, 0.000070
55811306, 21554134.707376, 0.000346, 0.000827, 0.000050, 0.000091
55811307, 21554142.714363, 0.000197, 0.000828, 0.000047, 0.000082
55811308, 21554151.021527, 0.000186, 0.000761, 0.000045, 0.000080
55811309, 21554159.782543, 0.000287, 0.000945, 0.000045, 0.000081
55811310, 21554167.837483, 0.000267, 0.000827, 0.000047, 0.000081
55811311, 21554175.773484, 0.000160, 0.000718, 0.000044, 0.000074
55811312, 21554189.991681, 0.000169, 0.000825, 0.000048, 0.000085
55811313, 21554192.774077, 0.000203, 0.000829, 0.000049, 0.000082
55811314, 21554200.924922, 0.000168, 0.000757, 0.000045, 0.000072
55811315, 21554209.243036, 0.000166, 0.000767, 0.000045, 0.000076
55811316, 21554217.659698, 0.000167, 0.000760, 0.000047, 0.000080
55811317, 21554226.524550, 0.000466, 0.000925, 0.000045, 0.000078
55811318, 21554234.420905, 0.000171, 0.000846, 0.000051, 0.000083
55811319, 21554242.856447, 0.000231, 0.000836, 0.000048, 0.000084
55811320, 21554251.868932, 0.000168, 0.000842, 0.000050, 0.000086
