Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55113154, 15736171.071088, 0.000169, 0.000918, 0.000045, 0.000074
55113155, 15736171.577047, 0.000177, 0.000998, 0.000047, 0.000087
55113156, 15736179.998995, 0.000180, 0.001018, 0.000048, 0.000088
55113157, 15736188.177026, 0.000164, 0.000854, 0.000043, 0.000079
55113158, 15736196.541582, 0.000156, 0.000929, 0.000044, 0.000078
55113159, 15736205.316947, 0.000451, 0.000964, 0.000048, 0.000081
55113160, 15736213.376417, 0.000278, 0.000951, 0.000045, 0.000076
55113161, 15736221.535192, 0.000176, 0.000921, 0.000044, 0.000075
55113162, 15736230.019819, 0.000339, 0.000911, 0.000042, 0.000076
55113163, 15736238.161224, 0.000154, 0.000862, 0.000041, 0.000073
55113164, 15736246.639055, 0.000173, 0.000981, 0.000050, 0.000086
55113165, 15736254.945086, 0.000167, 0.000945, 0.000044, 0.000080
55113166, 15736263.359105, 0.000167, 0.001000, 0.000046, 0.000085
55113167, 15736275.229880, 0.000167, 0.000986, 0.000045, 0.000085
55113168, 15736280.532253, 0.000180, 0.001034, 0.000047, 0.000089
55113169, 15736288.179027, 0.000153, 0.000895, 0.000042, 0.000079
55113170, 15736297.247017, 0.000456, 0.001025, 0.000046, 0.000089
55113171, 15736305.550783, 0.000287, 0.000986, 0.000047, 0.000086
55113172, 15736313.370867, 0.000255, 0.000944, 0.000046, 0.000083
55113173, 15736321.903824, 0.000203, 0.000993, 0.000047, 0.000088
55113174, 15736330.352203, 0.000449, 0.000981, 0.000046, 0.000085
55113175, 15736338.332760, 0.000161, 0.000895, 0.000042, 0.000074
55113176, 15736347.185151, 0.000415, 0.001021, 0.000045, 0.000085
55113177, 15736355.229518, 0.000297, 0.000988, 0.000048, 0.000083
55113178, 15736363.658640, 0.000262, 0.000939, 0.000044, 0.000084
55113179, 15736372.206323, 0.000442, 0.001043, 0.000047, 0.000087
55113180, 15736381.099116, 0.000393, 0.000947, 0.000045, 0.000080
55113181, 15736388.927884, 0.000449, 0.001142, 0.000042, 0.000068
55113182, 15736397.255060, 0.000436, 0.001171, 0.000048, 0.000082
55113183, 15736405.218625, 0.000264, 0.001021, 0.000047, 0.000084
55113184, 15736413.506154, 0.000176, 0.000957, 0.000045, 0.000079
55113185, 15736422.420846, 0.000471, 0.000996, 0.000047, 0.000083
55113186, 15736430.368175, 0.000195, 0.001009, 0.000046, 0.000084
55113187, 15736438.270572, 0.000199, 0.000891, 0.000042, 0.000081
55113188, 15736447.808273, 0.000424, 0.001022, 0.000045, 0.000082
55113189, 15736455.112581, 0.000166, 0.000913, 0.000044, 0.000072
55113190, 15736463.474872, 0.000270, 0.000961, 0.000048, 0.000086
