Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55914363, 22412956.765443, 0.000165, 0.000918, 0.000045, 0.000068
55914364, 22412957.391472, 0.000456, 0.001049, 0.000049, 0.000079
55914365, 22412965.604618, 0.000424, 0.000990, 0.000047, 0.000085
55914366, 22412973.375239, 0.000177, 0.000995, 0.000047, 0.000085
55914367, 22412981.805872, 0.000191, 0.001103, 0.000050, 0.000080
55914368, 22412990.349402, 0.000413, 0.000980, 0.000047, 0.000076
55914369, 22412998.334111, 0.000171, 0.000947, 0.000046, 0.000086
55914370, 22413006.816095, 0.000178, 0.000961, 0.000048, 0.000084
55914371, 22413015.384545, 0.000342, 0.001004, 0.000048, 0.000088
55914372, 22413023.561821, 0.000226, 0.000997, 0.000048, 0.000090
55914373, 22413031.727770, 0.000174, 0.001012, 0.000051, 0.000085
55914374, 22413040.380043, 0.000430, 0.001016, 0.000046, 0.000076
55914375, 22413048.362109, 0.000165, 0.000959, 0.000045, 0.000086
55914376, 22413056.660588, 0.000178, 0.001004, 0.000048, 0.000085
55914377, 22413065.403858, 0.000441, 0.000948, 0.000051, 0.000097
55914378, 22413073.632485, 0.000308, 0.000986, 0.000048, 0.000084
55914379, 22413081.786729, 0.000187, 0.000964, 0.000044, 0.000083
55914380, 22413089.945881, 0.000153, 0.000882, 0.000041, 0.000074
55914381, 22413098.365564, 0.000176, 0.000903, 0.000046, 0.000073
55914382, 22413106.818474, 0.000173, 0.001034, 0.000049, 0.000079
55914383, 22413115.980104, 0.000435, 0.001039, 0.000051, 0.000083
55914384, 22413123.461120, 0.000168, 0.001008, 0.000049, 0.000085
55914385, 22413132.204768, 0.000437, 0.001106, 0.000052, 0.000097
55914386, 22413140.333336, 0.000240, 0.001019, 0.000055, 0.000089
55914387, 22413148.648429, 0.000295, 0.000974, 0.000045, 0.000086
55914388, 22413156.715828, 0.000164, 0.001010, 0.000052, 0.000092
55914389, 22413165.457966, 0.000432, 0.001065, 0.000051, 0.000089
55914390, 22413174.246923, 0.000180, 0.000971, 0.000049, 0.000088
55914391, 22413181.684518, 0.000189, 0.000964, 0.000047, 0.000085
55914392, 22413189.878407, 0.000159, 0.000890, 0.000047, 0.000082
55914393, 22413198.331317, 0.000158, 0.000946, 0.000047, 0.000079
55914394, 22413206.822741, 0.000195, 0.000957, 0.000046, 0.000075
55914395, 22413215.111025, 0.000191, 0.001030, 0.000049, 0.000118
55914396, 22413223.660974, 0.000185, 0.001051, 0.000050, 0.000089
55914397, 22413232.170144, 0.000465, 0.001040, 0.000050, 0.000102
55914398, 22413240.169579, 0.000302, 0.000894, 0.000046, 0.000079
55914399, 22413248.463905, 0.000198, 0.000994, 0.000051, 0.000093
55914400, 22413256.781263, 0.000180, 0.000997, 0.000051, 0.000091
55914401, 22413265.176404, 0.000180, 0.000998, 0.000052, 0.000092
55914402, 22413273.611567, 0.000315, 0.000996, 0.000052, 0.000091
55914403, 22413281.795640, 0.000183, 0.001042, 0.000050, 0.000089
55914404, 22413290.334638, 0.000496, 0.000864, 0.000044, 0.000081
55914405, 22413298.678428, 0.000178, 0.000989, 0.000051, 0.000091
55914406, 22413306.869674, 0.000206, 0.001008, 0.000049, 0.000086
55914407, 22413315.394702, 0.000223, 0.001032, 0.000051, 0.000101
55914408, 22413323.549323, 0.000304, 0.000939, 0.000043, 0.000077
55914409, 22413332.689809, 0.000161, 0.000968, 0.000046, 0.000086
55914410, 22413340.637893, 0.000417, 0.000963, 0.000042, 0.000071
55914411, 22413348.708691, 0.000268, 0.001006, 0.000051, 0.000091
55914412, 22413357.393058, 0.000422, 0.001151, 0.000049, 0.000085
55914413, 22413365.748930, 0.000278, 0.001002, 0.000052, 0.000097
55914414, 22413373.380601, 0.000181, 0.001001, 0.000049, 0.000085
55914415, 22413382.153700, 0.000441, 0.001008, 0.000055, 0.000101
55914416, 22413390.095365, 0.000336, 0.000837, 0.000042, 0.000078
55914417, 22413398.558092, 0.000184, 0.001040, 0.000053, 0.000095
55914418, 22413406.795781, 0.000176, 0.000969, 0.000048, 0.000086
55914419, 22413415.841116, 0.000336, 0.001006, 0.000051, 0.000089
55914420, 22413423.493177, 0.000203, 0.000962, 0.000048, 0.000079
55914421, 22413431.817332, 0.000203, 0.000999, 0.000051, 0.000077
55914422, 22413440.218513, 0.000425, 0.000840, 0.000041, 0.000071
55914423, 22413448.738255, 0.000303, 0.001009, 0.000048, 0.000078
55914424, 22413456.637631, 0.000179, 0.000938, 0.000047, 0.000081
55914425, 22413465.712795, 0.000514, 0.001039, 0.000053, 0.000097
55914426, 22413473.593670, 0.000302, 0.000964, 0.000048, 0.000082
55914427, 22413483.066805, 0.000461, 0.001173, 0.000049, 0.000081
55914428, 22413489.881768, 0.000166, 0.000843, 0.000042, 0.000071
55914429, 22413498.783244, 0.000207, 0.001042, 0.000050, 0.000096
55914430, 22413507.349806, 0.000456, 0.001010, 0.000046, 0.000081
55914431, 22413515.175932, 0.000169, 0.001057, 0.000049, 0.000125
55914432, 22413523.463461, 0.000165, 0.000938, 0.000042, 0.000075
55914433, 22413531.684159, 0.000176, 0.000910, 0.000044, 0.000081
55914434, 22413540.114037, 0.000178, 0.000989, 0.000048, 0.000083
55914435, 22413548.676068, 0.000159, 0.000995, 0.000044, 0.000085
55914436, 22413557.125580, 0.000194, 0.000990, 0.000050, 0.000089
55914437, 22413565.584153, 0.000429, 0.001121, 0.000052, 0.000093
55914438, 22413573.443506, 0.000176, 0.000979, 0.000057, 0.000077
55914439, 22413581.680440, 0.000165, 0.000921, 0.000046, 0.000082
55914440, 22413590.138258, 0.000188, 0.000961, 0.000050, 0.000087
55914441, 22413598.688207, 0.000262, 0.000959, 0.000043, 0.000082
55914442, 22413606.859442, 0.000170, 0.001002, 0.000049, 0.000089
55914443, 22413615.658971, 0.000374, 0.001011, 0.000051, 0.000099
55914444, 22413623.739964, 0.000225, 0.000889, 0.000045, 0.000081
55914445, 22413631.618195, 0.000162, 0.000885, 0.000046, 0.000088
55914446, 22413641.069808, 0.000443, 0.001102, 0.000050, 0.000090
55914447, 22413649.067355, 0.000265, 0.000915, 0.000043, 0.000079
55914448, 22413657.631652, 0.000417, 0.001291, 0.000050, 0.000091
55914449, 22413665.369045, 0.000201, 0.001101, 0.000052, 0.000098
55914450, 22413673.845366, 0.000291, 0.000981, 0.000047, 0.000094
55914451, 22413681.569922, 0.000164, 0.000908, 0.000046, 0.000083
55914452, 22413690.711918, 0.000257, 0.001067, 0.000053, 0.000101
55914453, 22413698.682279, 0.000163, 0.000919, 0.000045, 0.000086
55914454, 22413707.015118, 0.000214, 0.001007, 0.000049, 0.000086
55914455, 22413715.413279, 0.000231, 0.001090, 0.000047, 0.000078
55914456, 22413723.843157, 0.000257, 0.000962, 0.000047, 0.000083
55914457, 22413731.916975, 0.000166, 0.000986, 0.000052, 0.000088
55914458, 22413740.575290, 0.000367, 0.001045, 0.000047, 0.000088
55914459, 22413748.428979, 0.000158, 0.000912, 0.000055, 0.000086
55914460, 22413756.952496, 0.000187, 0.000965, 0.000049, 0.000084
55914461, 22413765.128640, 0.000194, 0.000997, 0.000044, 0.000071
55914462, 22413775.042789, 0.000150, 0.000866, 0.000042, 0.000068
