Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55814125, 21577633.720568, 0.000450, 0.000863, 0.000045, 0.000072
55814126, 21577634.649795, 0.000410, 0.000798, 0.000049, 0.000084
55814127, 21577642.747401, 0.000163, 0.000803, 0.000045, 0.000084
55814128, 21577651.517857, 0.000429, 0.000954, 0.000043, 0.000084
55814129, 21577659.397599, 0.000214, 0.000718, 0.000040, 0.000071
55814130, 21577668.495795, 0.000449, 0.001043, 0.000050, 0.000099
55814131, 21577676.481260, 0.000424, 0.000830, 0.000048, 0.000083
55814132, 21577684.597368, 0.000180, 0.000848, 0.000049, 0.000088
55814133, 21577693.388968, 0.000419, 0.001064, 0.000046, 0.000078
55814134, 21577701.597583, 0.000409, 0.000985, 0.000043, 0.000081
55814135, 21577709.247378, 0.000153, 0.000746, 0.000041, 0.000070
55814136, 21577717.771274, 0.000144, 0.000809, 0.000044, 0.000069
55814137, 21577726.595346, 0.000409, 0.000938, 0.000046, 0.000077
55814138, 21577734.597424, 0.000190, 0.000872, 0.000048, 0.000085
55814139, 21577742.932152, 0.000160, 0.000841, 0.000047, 0.000083
55814140, 21577751.547799, 0.000424, 0.000871, 0.000050, 0.000084
55814141, 21577759.920285, 0.000373, 0.000795, 0.000040, 0.000062
55814142, 21577767.877808, 0.000172, 0.000887, 0.000048, 0.000091
55814143, 21577776.301645, 0.000170, 0.000912, 0.000055, 0.000087
55814144, 21577784.507239, 0.000159, 0.000825, 0.000049, 0.000081
55814145, 21577793.004326, 0.000174, 0.000873, 0.000052, 0.000091
55814146, 21577801.687183, 0.000435, 0.000925, 0.000051, 0.000090
55814147, 21577809.497450, 0.000183, 0.000751, 0.000042, 0.000074
55814148, 21577817.840862, 0.000172, 0.000869, 0.000049, 0.000085
55814149, 21577826.550905, 0.000475, 0.000886, 0.000047, 0.000083
55814150, 21577834.575260, 0.000179, 0.000849, 0.000048, 0.000084
55814151, 21577842.804265, 0.000160, 0.000844, 0.000048, 0.000078
55814152, 21577851.107653, 0.000177, 0.000869, 0.000050, 0.000088
55814153, 21577859.763324, 0.000191, 0.000784, 0.000044, 0.000079
55814154, 21577867.966653, 0.000168, 0.000885, 0.000050, 0.000088
55814155, 21577876.473935, 0.000427, 0.000854, 0.000048, 0.000084
55814156, 21577884.812438, 0.000391, 0.000852, 0.000049, 0.000090
55814157, 21577893.526257, 0.000436, 0.001071, 0.000047, 0.000086
55814158, 21577901.140937, 0.000164, 0.000866, 0.000049, 0.000086
55814159, 21577909.482083, 0.000165, 0.000849, 0.000049, 0.000088
55814160, 21577917.725058, 0.000155, 0.000810, 0.000045, 0.000077
55814161, 21577926.571030, 0.000419, 0.000857, 0.000048, 0.000086
55814162, 21577934.439822, 0.000171, 0.000867, 0.000050, 0.000091
55814163, 21577942.877629, 0.000160, 0.000844, 0.000048, 0.000096
55814164, 21577951.039801, 0.000162, 0.000789, 0.000046, 0.000089
55814165, 21577959.494977, 0.000148, 0.000759, 0.000042, 0.000076
55814166, 21577967.852737, 0.000164, 0.000797, 0.000047, 0.000082
55814167, 21577976.128939, 0.000175, 0.000843, 0.000048, 0.000085
55814168, 21577984.929979, 0.000178, 0.000895, 0.000050, 0.000093
55814169, 21577992.981143, 0.000186, 0.000933, 0.000047, 0.000088
55814170, 21578001.528826, 0.000174, 0.000784, 0.000043, 0.000078
55814171, 21578009.580745, 0.000193, 0.000822, 0.000046, 0.000081
55814172, 21578018.267755, 0.000409, 0.001022, 0.000054, 0.000091
55814173, 21578026.091615, 0.000163, 0.000846, 0.000047, 0.000079
55814174, 21578034.479581, 0.000254, 0.000778, 0.000043, 0.000081
55814175, 21578042.691217, 0.000146, 0.000754, 0.000045, 0.000075
55814176, 21578051.513779, 0.000413, 0.000894, 0.000046, 0.000084
55814177, 21578059.883621, 0.000215, 0.000816, 0.000045, 0.000075
55814178, 21578068.199847, 0.000178, 0.000901, 0.000048, 0.000078
55814179, 21578076.669748, 0.000420, 0.000867, 0.000045, 0.000079
55814180, 21578085.056582, 0.000334, 0.000862, 0.000045, 0.000083
55814181, 21578092.884973, 0.000157, 0.000818, 0.000042, 0.000072
55814182, 21578101.548951, 0.000416, 0.000820, 0.000044, 0.000084
55814183, 21578109.754168, 0.000256, 0.000795, 0.000046, 0.000082
55814184, 21578118.056801, 0.000165, 0.000859, 0.000047, 0.000075
55814185, 21578126.784212, 0.000441, 0.000889, 0.000044, 0.000077
55814186, 21578134.714172, 0.000170, 0.000850, 0.000049, 0.000084
55814187, 21578143.121773, 0.000158, 0.000792, 0.000046, 0.000081
55814188, 21578151.681916, 0.000404, 0.000823, 0.000043, 0.000077
55814189, 21578159.815015, 0.000168, 0.000864, 0.000046, 0.000075
55814190, 21578168.195052, 0.000224, 0.000851, 0.000046, 0.000081
55814191, 21578176.728009, 0.000403, 0.001026, 0.000047, 0.000079
55814192, 21578184.698748, 0.000221, 0.000872, 0.000048, 0.000081
55814193, 21578193.006667, 0.000183, 0.000851, 0.000047, 0.000082
55814194, 21578201.575495, 0.000429, 0.000838, 0.000043, 0.000081
55814195, 21578209.498659, 0.000163, 0.000855, 0.000047, 0.000084
55814196, 21578217.810353, 0.000166, 0.000811, 0.000050, 0.000088
55814197, 21578226.371629, 0.000309, 0.000841, 0.000049, 0.000086
55814198, 21578234.665578, 0.000195, 0.000887, 0.000048, 0.000087
55814199, 21578242.970854, 0.000206, 0.000846, 0.000048, 0.000082
55814200, 21578252.161180, 0.000421, 0.000831, 0.000043, 0.000073
55814201, 21578259.520237, 0.000163, 0.000812, 0.000043, 0.000076
55814202, 21578267.894611, 0.000167, 0.000839, 0.000046, 0.000081
55814203, 21578276.456642, 0.000316, 0.000774, 0.000041, 0.000072
55814204, 21578284.742661, 0.000159, 0.000843, 0.000047, 0.000078
55814205, 21578293.512739, 0.000439, 0.001043, 0.000047, 0.000081
55814206, 21578301.506133, 0.000441, 0.000774, 0.000043, 0.000072
55814207, 21578309.890701, 0.000268, 0.000887, 0.000051, 0.000092
55814208, 21578318.425546, 0.000434, 0.001060, 0.000050, 0.000088
55814209, 21578326.709300, 0.000415, 0.000835, 0.000046, 0.000076
