Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55790446, 21380305.879656, 0.000295, 0.000914, 0.000047, 0.000073
55790447, 21380308.542736, 0.000262, 0.001014, 0.000050, 0.000081
55790448, 21380317.271281, 0.000406, 0.001200, 0.000047, 0.000079
55790449, 21380325.256745, 0.000279, 0.000976, 0.000046, 0.000075
55790450, 21380333.426092, 0.000172, 0.000996, 0.000045, 0.000078
55790451, 21380342.270931, 0.000479, 0.001151, 0.000048, 0.000085
55790452, 21380350.254131, 0.000386, 0.000946, 0.000047, 0.000079
55790453, 21380358.579041, 0.000236, 0.001012, 0.000049, 0.000083
55790454, 21380366.541473, 0.000164, 0.000926, 0.000049, 0.000083
55790455, 21380374.962289, 0.000204, 0.000862, 0.000040, 0.000074
55790456, 21380383.517901, 0.000158, 0.001012, 0.000049, 0.000082
55790457, 21380391.714811, 0.000181, 0.001008, 0.000046, 0.000083
55790458, 21380400.309314, 0.000392, 0.000970, 0.000045, 0.000081
55790459, 21380408.396348, 0.000169, 0.000977, 0.000047, 0.000078
55790460, 21380416.630639, 0.000172, 0.000958, 0.000049, 0.000093
55790461, 21380425.240245, 0.000296, 0.000884, 0.000040, 0.000069
55790462, 21380433.901580, 0.000507, 0.001177, 0.000041, 0.000073
55790463, 21380444.428166, 0.000159, 0.000935, 0.000043, 0.000071
55790464, 21380458.690918, 0.000406, 0.000939, 0.000046, 0.000081
55790465, 21380458.800794, 0.000226, 0.001386, 0.000043, 0.000068
55790466, 21380470.822602, 0.000449, 0.000978, 0.000043, 0.000079
55790467, 21380475.262201, 0.000442, 0.000913, 0.000041, 0.000069
55790468, 21380483.394167, 0.000152, 0.000935, 0.000043, 0.000073
55790469, 21380492.037756, 0.000422, 0.001015, 0.000043, 0.000070
55790470, 21380500.401935, 0.000308, 0.000998, 0.000047, 0.000083
55790471, 21380508.232591, 0.000173, 0.001013, 0.000046, 0.000078
