Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55804166, 21494636.856002, 0.000397, 0.000776, 0.000041, 0.000066
55804167, 21494642.755708, 0.000162, 0.000770, 0.000042, 0.000070
55804168, 21494651.078730, 0.000476, 0.000824, 0.000042, 0.000075
55804169, 21494659.133292, 0.000258, 0.000844, 0.000048, 0.000089
55804170, 21494667.466887, 0.000174, 0.000854, 0.000051, 0.000089
55804171, 21494676.298511, 0.000424, 0.001068, 0.000049, 0.000094
55804172, 21494684.119727, 0.000311, 0.000813, 0.000044, 0.000080
55804173, 21494692.311729, 0.000268, 0.000737, 0.000040, 0.000066
55804174, 21494700.941347, 0.000419, 0.000852, 0.000044, 0.000070
55804175, 21494709.191496, 0.000257, 0.000813, 0.000047, 0.000080
55804176, 21494717.329126, 0.000175, 0.000793, 0.000045, 0.000078
55804177, 21494725.598154, 0.000183, 0.000812, 0.000046, 0.000073
55804178, 21494733.958179, 0.000220, 0.000793, 0.000045, 0.000071
55804179, 21494742.253261, 0.000219, 0.000720, 0.000040, 0.000068
55804180, 21494751.093947, 0.000424, 0.001064, 0.000050, 0.000087
55804181, 21494759.299541, 0.000432, 0.000933, 0.000046, 0.000079
55804182, 21494767.402433, 0.000209, 0.000809, 0.000050, 0.000082
55804183, 21494775.993538, 0.000443, 0.000853, 0.000047, 0.000083
55804184, 21494784.138342, 0.000426, 0.000806, 0.000047, 0.000075
55804185, 21494792.263134, 0.000254, 0.000733, 0.000039, 0.000065
55804186, 21494800.537826, 0.000175, 0.000818, 0.000048, 0.000086
55804187, 21494809.398902, 0.000421, 0.000847, 0.000045, 0.000078
55804188, 21494817.269959, 0.000168, 0.000825, 0.000048, 0.000082
55804189, 21494825.540120, 0.000168, 0.000811, 0.000043, 0.000070
55804190, 21494834.005490, 0.000231, 0.000745, 0.000044, 0.000074
55804191, 21494842.077043, 0.000150, 0.000729, 0.000041, 0.000075
55804192, 21494851.058567, 0.000436, 0.001023, 0.000048, 0.000085
55804193, 21494861.131301, 0.000423, 0.000817, 0.000045, 0.000079
55804194, 21494867.496564, 0.000307, 0.000859, 0.000049, 0.000088
55804195, 21494875.496000, 0.000169, 0.000825, 0.000042, 0.000072
55804196, 21494884.232473, 0.000405, 0.000777, 0.000043, 0.000078
55804197, 21494892.433159, 0.000167, 0.000733, 0.000039, 0.000072
55804198, 21494901.220229, 0.000433, 0.000951, 0.000046, 0.000089
55804199, 21494909.235522, 0.000418, 0.000903, 0.000046, 0.000075
55804200, 21494917.290462, 0.000169, 0.000853, 0.000047, 0.000080
55804201, 21494925.996351, 0.000445, 0.000880, 0.000046, 0.000077
55804202, 21494934.018819, 0.000235, 0.000823, 0.000047, 0.000081
55804203, 21494942.960697, 0.000170, 0.000809, 0.000047, 0.000079
55804204, 21494950.692427, 0.000165, 0.000818, 0.000048, 0.000082
55804205, 21494959.669797, 0.000196, 0.000817, 0.000050, 0.000088
55804206, 21494967.428336, 0.000205, 0.000830, 0.000048, 0.000081
55804207, 21494975.775145, 0.000168, 0.000849, 0.000048, 0.000086
55804208, 21494984.156315, 0.000373, 0.000765, 0.000045, 0.000074
55804209, 21494992.385697, 0.000170, 0.000858, 0.000049, 0.000087
55804210, 21495002.852625, 0.000428, 0.000993, 0.000046, 0.000078
55804211, 21495008.947919, 0.000170, 0.000858, 0.000047, 0.000082
55804212, 21495017.295484, 0.000156, 0.000812, 0.000046, 0.000073
55804213, 21495026.337043, 0.000434, 0.001081, 0.000047, 0.000074
55804214, 21495034.679322, 0.000164, 0.000837, 0.000045, 0.000078
55804215, 21495042.467311, 0.000170, 0.000829, 0.000048, 0.000082
55804216, 21495050.741248, 0.000179, 0.000792, 0.000054, 0.000080
55804217, 21495059.672554, 0.000438, 0.000878, 0.000048, 0.000086
55804218, 21495067.473381, 0.000241, 0.000857, 0.000047, 0.000082
55804219, 21495076.406197, 0.000416, 0.001071, 0.000047, 0.000079
55804220, 21495083.920818, 0.000152, 0.000740, 0.000043, 0.000076
55804221, 21495092.196265, 0.000165, 0.000774, 0.000045, 0.000069
55804222, 21495101.131346, 0.000477, 0.000848, 0.000044, 0.000079
55804223, 21495109.056020, 0.000171, 0.000848, 0.000051, 0.000090
55804224, 21495117.626736, 0.000172, 0.000794, 0.000047, 0.000079
55804225, 21495125.782489, 0.000201, 0.000804, 0.000049, 0.000088
55804226, 21495134.243706, 0.000414, 0.000726, 0.000048, 0.000075
55804227, 21495142.365100, 0.000171, 0.000822, 0.000047, 0.000079
55804228, 21495154.603639, 0.000176, 0.000810, 0.000050, 0.000088
55804229, 21495159.153493, 0.000333, 0.000852, 0.000049, 0.000083
55804230, 21495167.681164, 0.000179, 0.000858, 0.000050, 0.000088
55804231, 21495176.442558, 0.000431, 0.000885, 0.000047, 0.000081
55804232, 21495183.866182, 0.000169, 0.000785, 0.000046, 0.000075
55804233, 21495193.715765, 0.000175, 0.000801, 0.000049, 0.000081
55804234, 21495201.286645, 0.000436, 0.001077, 0.000048, 0.000084
55804235, 21495209.920417, 0.000361, 0.000828, 0.000046, 0.000078
55804236, 21495217.447498, 0.000177, 0.000828, 0.000047, 0.000079
55804237, 21495225.563983, 0.000196, 0.000772, 0.000044, 0.000072
55804238, 21495234.357471, 0.000451, 0.000831, 0.000047, 0.000077
55804239, 21495242.442618, 0.000283, 0.000784, 0.000045, 0.000074
55804240, 21495250.739209, 0.000172, 0.000825, 0.000049, 0.000087
55804241, 21495258.858337, 0.000168, 0.000775, 0.000048, 0.000081
55804242, 21495267.417726, 0.000174, 0.000800, 0.000045, 0.000077
55804243, 21495276.081326, 0.000409, 0.000869, 0.000045, 0.000072
55804244, 21495283.937280, 0.000172, 0.000779, 0.000047, 0.000081
55804245, 21495292.350922, 0.000206, 0.000814, 0.000050, 0.000088
55804246, 21495301.503112, 0.000400, 0.000814, 0.000047, 0.000078
55804247, 21495309.214076, 0.000224, 0.000809, 0.000046, 0.000079
55804248, 21495317.899198, 0.000417, 0.001072, 0.000050, 0.000084
55804249, 21495325.795554, 0.000161, 0.000817, 0.000048, 0.000079
55804250, 21495334.293018, 0.000429, 0.000793, 0.000040, 0.000084
55804251, 21495342.333232, 0.000160, 0.000822, 0.000050, 0.000075
55804252, 21495351.980054, 0.000422, 0.000924, 0.000046, 0.000072
55804253, 21495358.913200, 0.000171, 0.000807, 0.000050, 0.000071
55804254, 21495367.320045, 0.000186, 0.000777, 0.000040, 0.000070
55804255, 21495375.996861, 0.000162, 0.000740, 0.000043, 0.000071
55804256, 21495384.510184, 0.000424, 0.000826, 0.000047, 0.000080
