Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55889455, 22205386.120946, 0.000162, 0.000898, 0.000047, 0.000070
55889456, 22205389.066079, 0.000426, 0.000938, 0.000050, 0.000088
55889457, 22205397.190116, 0.000255, 0.000838, 0.000042, 0.000078
55889458, 22205405.870707, 0.000425, 0.001103, 0.000046, 0.000084
55889459, 22205414.168432, 0.000418, 0.001015, 0.000049, 0.000093
55889460, 22205422.080646, 0.000223, 0.000923, 0.000050, 0.000092
55889461, 22205430.599632, 0.000169, 0.000986, 0.000050, 0.000091
55889462, 22205439.062360, 0.000403, 0.000936, 0.000050, 0.000092
55889463, 22205446.940214, 0.000149, 0.000834, 0.000043, 0.000079
55889464, 22205455.749560, 0.000423, 0.001028, 0.000049, 0.000091
55889465, 22205463.934766, 0.000426, 0.000888, 0.000049, 0.000086
55889466, 22205472.172077, 0.000268, 0.000847, 0.000048, 0.000089
55889467, 22205480.283276, 0.000168, 0.000894, 0.000050, 0.000083
55889468, 22205489.020505, 0.000400, 0.000926, 0.000048, 0.000084
55889469, 22205496.802076, 0.000159, 0.000825, 0.000042, 0.000075
55889470, 22205505.291611, 0.000173, 0.000938, 0.000049, 0.000092
55889471, 22205514.127389, 0.000413, 0.000913, 0.000045, 0.000084
55889472, 22205522.167225, 0.000225, 0.000925, 0.000050, 0.000089
55889473, 22205530.274271, 0.000176, 0.000848, 0.000042, 0.000075
55889474, 22205538.562933, 0.000167, 0.000859, 0.000046, 0.000093
55889475, 22205546.904079, 0.000170, 0.000892, 0.000047, 0.000084
55889476, 22205555.406452, 0.000217, 0.000921, 0.000052, 0.000097
55889477, 22205564.457074, 0.000440, 0.000876, 0.000046, 0.000083
55889478, 22205572.252992, 0.000185, 0.000834, 0.000047, 0.000094
55889479, 22205580.196168, 0.000163, 0.000825, 0.000066, 0.000086
55889480, 22205588.532406, 0.000157, 0.000837, 0.000048, 0.000087
55889481, 22205596.924525, 0.000162, 0.000824, 0.000043, 0.000075
55889482, 22205605.427276, 0.000209, 0.000997, 0.000051, 0.000102
55889483, 22205614.125992, 0.000358, 0.000832, 0.000041, 0.000077
55889484, 22205622.313840, 0.000237, 0.000855, 0.000047, 0.000088
55889485, 22205631.576284, 0.000485, 0.000928, 0.000047, 0.000083
55889486, 22205639.555330, 0.000370, 0.000953, 0.000050, 0.000082
55889487, 22205646.957054, 0.000191, 0.000805, 0.000041, 0.000074
55889488, 22205656.037126, 0.000480, 0.001158, 0.000058, 0.000097
55889489, 22205664.069411, 0.000323, 0.000988, 0.000050, 0.000094
55889490, 22205672.571029, 0.000175, 0.000975, 0.000053, 0.000096
55889491, 22205680.739998, 0.000436, 0.001044, 0.000047, 0.000082
55889492, 22205688.915386, 0.000418, 0.000958, 0.000052, 0.000088
55889493, 22205699.568084, 0.000171, 0.000912, 0.000045, 0.000083
55889494, 22205705.403224, 0.000175, 0.000954, 0.000050, 0.000082
55889495, 22205713.751922, 0.000150, 0.000886, 0.000045, 0.000075
55889496, 22205722.000183, 0.000172, 0.000884, 0.000044, 0.000077
55889497, 22205730.485188, 0.000182, 0.000891, 0.000042, 0.000077
55889498, 22205739.268481, 0.000425, 0.000915, 0.000045, 0.000083
55889499, 22205746.872211, 0.000153, 0.000824, 0.000044, 0.000078
55889500, 22205755.425558, 0.000179, 0.000943, 0.000048, 0.000089
55889501, 22205763.594905, 0.000164, 0.000846, 0.000045, 0.000079
55889502, 22205772.014965, 0.000310, 0.000836, 0.000043, 0.000078
