Frame Number, Timestamp
55927819, 22525161.539806
55927820, 22525161.582850
55927821, 22525161.607393
55927822, 22525161.624006
55927823, 22525161.639487
55927824, 22525161.655346
55927825, 22525161.676490
55927826, 22525161.981198
55927827, 22525162.009517
55927828, 22525162.028018
55927829, 22525165.571995
55927830, 22525174.213696
55927831, 22525182.392860
55927832, 22525190.684920
55927833, 22525198.836521
55927834, 22525207.534859
55927835, 22525215.761598
55927836, 22525224.156360
55927837, 22525232.267182
55927838, 22525240.473154
55927839, 22525249.408991
55927840, 22525258.091470
55927841, 22525265.690292
55927842, 22525274.375414
55927843, 22525282.033893
55927844, 22525290.568739
55927845, 22525299.309743
55927846, 22525307.459078
55927847, 22525315.591422
55927848, 22525323.870645
55927849, 22525332.314493
55927850, 22525340.792701
55927851, 22525349.106661
55927852, 22525357.648681
55927853, 22525365.819538
55927854, 22525374.512212
55927855, 22525382.367033
55927856, 22525390.592262
55927857, 22525398.836747
55927858, 22525407.565292
55927859, 22525415.654214
55927860, 22525423.866227
55927861, 22525432.580423
55927862, 22525440.633853
55927863, 22525449.926126
55927864, 22525457.841360
55927865, 22525465.813610
55927866, 22525474.625977
55927867, 22525482.379229
55927868, 22525490.533850
55927869, 22525498.924837
55927870, 22525507.477051
55927871, 22525516.266386
55927872, 22525524.337939
55927873, 22525532.648501
55927874, 22525540.684184
55927875, 22525549.667218
55927876, 22525557.499007
55927877, 22525565.704224
55927878, 22525574.288533
55927879, 22525582.465431
55927880, 22525591.157728
55927881, 22525598.756172
55927882, 22525607.429589
55927883, 22525616.074310
55927884, 22525623.754690
55927885, 22525632.430750
55927886, 22525640.629171
55927887, 22525649.268228
55927888, 22525657.258979
55927889, 22525665.544998
55927890, 22525673.982428
55927891, 22525682.380211
55927892, 22525690.692661
55927893, 22525699.140662
55927894, 22525707.296416
55927895, 22525715.610754
55927896, 22525724.013824
55927897, 22525732.719713
55927898, 22525740.788623
55927899, 22525748.961746
55927900, 22525758.152449
55927901, 22525765.621761
55927902, 22525774.658789
55927903, 22525782.697492
55927904, 22525790.542497
55927905, 22525799.444729
55927906, 22525807.826276
55927907, 22525815.994867
55927908, 22525823.911612
55927909, 22525832.316570
55927910, 22525840.951096
55927911, 22525848.988290
55927912, 22525857.425719
55927913, 22525865.490098
55927914, 22525873.942253
55927915, 22525882.598679
55927916, 22525891.234339
55927917, 22525898.875072
55927918, 22525907.293245
55927919, 22525915.624196
55927920, 22525923.912481
55927921, 22525932.469981
55927922, 22525941.092803
55927923, 22525949.003506
55927924, 22525957.516074
55927925, 22525965.732996
55927926, 22525974.974673
55927927, 22525982.507418
55927928, 22525990.985626
55927929, 22525998.985439
55927930, 22526007.373783
55927931, 22526016.959436
55927932, 22526024.503131
55927933, 22526032.577705
55927934, 22526040.700609
55927935, 22526049.074227
55927936, 22526057.471633
55927937, 22526066.112201
55927938, 22526074.337052
55927939, 22526082.608723
55927940, 22526090.786377
55927941, 22526098.969316
55927942, 22526107.237967
55927943, 22526116.287078
55927944, 22526124.904235
