Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55923315, 22487551.078617, 0.000186, 0.000890, 0.000048, 0.000075
55923316, 22487557.600954, 0.000395, 0.000938, 0.000048, 0.000083
55923317, 22487565.509015, 0.000184, 0.000986, 0.000056, 0.000081
55923318, 22487573.937382, 0.000285, 0.000883, 0.000047, 0.000081
55923319, 22487582.147885, 0.000176, 0.001004, 0.000055, 0.000085
55923320, 22487590.776748, 0.000394, 0.000881, 0.000050, 0.000084
55923321, 22487599.643487, 0.000274, 0.000853, 0.000046, 0.000076
55923322, 22487607.690875, 0.000420, 0.001013, 0.000049, 0.000083
55923323, 22487616.208352, 0.000373, 0.000921, 0.000051, 0.000084
55923324, 22487624.173805, 0.000239, 0.000882, 0.000049, 0.000086
55923325, 22487632.100367, 0.000192, 0.000952, 0.000050, 0.000077
55923326, 22487640.815696, 0.000465, 0.000902, 0.000055, 0.000087
55923327, 22487648.969562, 0.000314, 0.000882, 0.000046, 0.000078
55923328, 22487657.147970, 0.000174, 0.000915, 0.000056, 0.000103
55923329, 22487665.912385, 0.000430, 0.001018, 0.000053, 0.000098
55923330, 22487673.844610, 0.000197, 0.000872, 0.000049, 0.000088
55923331, 22487682.066063, 0.000179, 0.000897, 0.000044, 0.000076
55923332, 22487690.695304, 0.000398, 0.000841, 0.000045, 0.000077
55923333, 22487699.470291, 0.000488, 0.001162, 0.000046, 0.000078
55923334, 22487707.673242, 0.000425, 0.001167, 0.000049, 0.000085
55923335, 22487715.310577, 0.000170, 0.000923, 0.000048, 0.000085
55923336, 22487723.777458, 0.000193, 0.000929, 0.000050, 0.000085
55923337, 22487732.180527, 0.000178, 0.000901, 0.000048, 0.000090
55923338, 22487740.765591, 0.000475, 0.000830, 0.000045, 0.000081
55923339, 22487748.842430, 0.000201, 0.000819, 0.000045, 0.000071
55923340, 22487757.183198, 0.000168, 0.000956, 0.000049, 0.000074
55923341, 22487765.545489, 0.000180, 0.000975, 0.000050, 0.000097
55923342, 22487773.780157, 0.000175, 0.000872, 0.000046, 0.000076
55923343, 22487782.132253, 0.000170, 0.000873, 0.000048, 0.000073
55923344, 22487790.767913, 0.000433, 0.000875, 0.000044, 0.000071
55923345, 22487798.792646, 0.000208, 0.000851, 0.000047, 0.000083
55923346, 22487807.865544, 0.000179, 0.000919, 0.000048, 0.000082
55923347, 22487815.412260, 0.000176, 0.000921, 0.000051, 0.000085
55923348, 22487823.779081, 0.000177, 0.000877, 0.000049, 0.000080
55923349, 22487832.090776, 0.000171, 0.000907, 0.000052, 0.000089
55923350, 22487840.745315, 0.000448, 0.000878, 0.000044, 0.000076
55923351, 22487848.954685, 0.000231, 0.000906, 0.000111, 0.000091
55923352, 22487857.046627, 0.000172, 0.000884, 0.000048, 0.000079
55923353, 22487865.542204, 0.000183, 0.000983, 0.000052, 0.000089
55923354, 22487875.612295, 0.000309, 0.000900, 0.000048, 0.000083
55923355, 22487882.332862, 0.000186, 0.000928, 0.000053, 0.000100
55923356, 22487890.616238, 0.000298, 0.000819, 0.000043, 0.000075
55923357, 22487898.848264, 0.000183, 0.000960, 0.000053, 0.000091
55923358, 22487907.150141, 0.000185, 0.000923, 0.000051, 0.000082
55923359, 22487916.798473, 0.000220, 0.000971, 0.000053, 0.000091
55923360, 22487924.015560, 0.000218, 0.000932, 0.000048, 0.000088
55923361, 22487932.780730, 0.000413, 0.001080, 0.000049, 0.000083
55923362, 22487940.589487, 0.000267, 0.000842, 0.000045, 0.000077
55923363, 22487949.311235, 0.000282, 0.001056, 0.000053, 0.000097
55923364, 22487958.959189, 0.000198, 0.000938, 0.000051, 0.000091
55923365, 22487965.584984, 0.000174, 0.000952, 0.000051, 0.000082
55923366, 22487973.979747, 0.000174, 0.000997, 0.000048, 0.000079
55923367, 22487983.026970, 0.000436, 0.001174, 0.000045, 0.000076
55923368, 22487992.306405, 0.000381, 0.000897, 0.000044, 0.000078
55923369, 22487999.046985, 0.000178, 0.000959, 0.000053, 0.000091
55923370, 22488007.758538, 0.000459, 0.000969, 0.000051, 0.000086
55923371, 22488016.139330, 0.000323, 0.000995, 0.000050, 0.000085
55923372, 22488024.177656, 0.000255, 0.000860, 0.000045, 0.000079
55923373, 22488032.257893, 0.000168, 0.000861, 0.000043, 0.000074
55923374, 22488040.482367, 0.000163, 0.000808, 0.000045, 0.000081
55923375, 22488048.882416, 0.000167, 0.000834, 0.000043, 0.000075
