Frame Number, Timestamp
55887817, 22191812.194890
55887818, 22191812.237179
55887819, 22191812.260589
55887820, 22191812.280979
55887821, 22191812.298348
55887822, 22191812.314584
55887823, 22191812.329309
55887824, 22191812.347811
55887825, 22191812.363292
55887826, 22191812.384814
55887827, 22191813.449215
55887828, 22191821.785453
55887829, 22191830.254221
55887830, 22191838.456040
55887831, 22191846.852313
55887832, 22191855.153435
55887833, 22191863.904635
55887834, 22191872.015834
55887835, 22191880.025464
55887836, 22191888.636580
55887837, 22191897.050222
55887838, 22191905.086660
55887839, 22191913.690603
55887840, 22191921.927536
55887841, 22191930.061768
55887842, 22191938.903209
55887843, 22191947.059341
55887844, 22191955.037254
55887845, 22191963.974978
55887846, 22191972.003109
55887847, 22191980.030485
55887848, 22191988.395797
55887849, 22191996.958961
55887850, 22192005.050148
55887851, 22192013.683542
55887852, 22192021.914057
55887853, 22192030.254448
55887854, 22192038.442296
55887855, 22192047.072292
55887856, 22192059.440341
55887857, 22192063.485368
55887858, 22192072.381181
55887859, 22192080.429324
55887860, 22192088.774246
55887861, 22192097.063664
55887862, 22192105.046108
55887863, 22192114.466003
55887864, 22192121.825438
55887865, 22192130.226998
55887866, 22192138.705961
55887867, 22192147.119225
55887868, 22192155.293103
55887869, 22192163.359747
55887870, 22192171.938769
55887871, 22192180.137945
55887872, 22192188.283126
55887873, 22192197.283529
55887874, 22192205.017525
55887875, 22192213.624111
55887876, 22192222.157068
55887877, 22192230.735713
55887878, 22192238.862770
55887879, 22192247.227326
55887880, 22192254.984732
55887881, 22192263.920568
55887882, 22192272.045738
55887883, 22192280.375179
55887884, 22192288.973081
55887885, 22192297.174899
55887886, 22192305.219644
55887887, 22192313.840956
55887888, 22192322.049571
55887889, 22192330.140758
55887890, 22192338.747344
55887891, 22192346.810590
55887892, 22192355.059229
55887893, 22192364.095879
55887894, 22192371.832896
55887895, 22192380.069829
55887896, 22192388.769300
55887897, 22192397.183697
55887898, 22192405.047203
55887899, 22192413.745918
55887900, 22192421.811808
55887901, 22192430.104623
55887902, 22192438.709321
55887903, 22192446.683081
55887904, 22192455.105407
55887905, 22192463.462411
55887906, 22192472.101469
55887907, 22192481.117353
55887908, 22192488.442428
55887909, 22192496.991244
55887910, 22192505.275375
55887911, 22192513.730928
55887912, 22192521.796063
55887913, 22192530.424548
55887914, 22192538.415299
55887915, 22192547.135914
55887916, 22192555.357367
55887917, 22192563.718902
55887918, 22192571.921099
55887919, 22192580.193525
55887920, 22192588.567898
55887921, 22192596.975876
55887922, 22192605.150131
55887923, 22192613.573590
55887924, 22192621.850170
55887925, 22192630.152803
55887926, 22192638.798279
55887927, 22192647.073726
55887928, 22192655.151321
55887929, 22192664.127936
55887930, 22192672.096032
55887931, 22192680.110948
55887932, 22192688.379598
55887933, 22192697.079069
55887934, 22192706.249006
55887935, 22192714.463662
55887936, 22192722.163298
55887937, 22192729.996597
55887938, 22192739.773307
55887939, 22192747.042123
55887940, 22192755.147658
55887941, 22192763.292840
55887942, 22192772.020629
55887943, 22192780.094070
55887944, 22192789.419193
55887945, 22192797.100327
55887946, 22192805.087302
55887947, 22192813.637250
55887948, 22192821.810373
55887949, 22192830.376557
55887950, 22192838.555721
55887951, 22192847.023735
55887952, 22192855.356196
55887953, 22192863.523278
55887954, 22192871.928235
55887955, 22192880.199529
55887956, 22192889.623955
55887957, 22192896.797243
55887958, 22192905.102141
55887959, 22192913.803122
55887960, 22192921.756492
55887961, 22192930.230547
55887962, 22192938.678171
55887963, 22192947.482609
55887964, 22192955.174316
55887965, 22192963.317609
55887966, 22192971.778448
55887967, 22192980.756574
55887968, 22192988.792257
55887969, 22192997.216849
55887970, 22193005.157381
55887971, 22193013.887058
55887972, 22193021.904240
55887973, 22193030.662235
55887974, 22193038.598992
55887975, 22193047.121377
55887976, 22193055.181980
55887977, 22193063.456295
55887978, 22193072.242609
55887979, 22193080.146894
55887980, 22193089.641928
55887981, 22193096.820124
55887982, 22193105.153718
55887983, 22193114.174511
55887984, 22193122.268341
55887985, 22193130.388980
55887986, 22193138.869831
55887987, 22193147.237030
55887988, 22193155.064666
55887989, 22193163.867594
55887990, 22193172.260091
55887991, 22193180.023160
55887992, 22193188.817404
55887993, 22193197.170255
55887994, 22193205.599000
55887995, 22193213.977149
55887996, 22193221.901823
55887997, 22193229.906544
55887998, 22193238.694747
55887999, 22193246.845214
55888000, 22193255.150113
55888001, 22193263.702704
55888002, 22193272.762387
55888003, 22193280.366117
55888004, 22193288.774095
55888005, 22193297.097495
55888006, 22193306.072978
55888007, 22193314.127917
55888008, 22193321.632721
55888009, 22193330.444333
55888010, 22193338.604240
55888011, 22193348.992632
55888012, 22193355.151359
55888013, 22193364.079643
55888014, 22193371.759267
55888015, 22193380.847647
55888016, 22193389.585253
55888017, 22193397.327178
55888018, 22193405.482554
55888019, 22193413.435547
55888020, 22193421.862781
55888021, 22193430.143137
55888022, 22193438.948708
55888023, 22193446.984391
55888024, 22193455.195271
55888025, 22193463.746353
55888026, 22193471.890024
55888027, 22193479.995182
55888028, 22193488.911761
55888029, 22193497.460577
55888030, 22193505.600473
55888031, 22193513.445099
55888032, 22193521.917266
55888033, 22193530.085858
55888034, 22193539.603169
55888035, 22193547.246168
55888036, 22193556.849190
55888037, 22193564.357015
55888038, 22193572.889594
55888039, 22193581.453891
55888040, 22193588.475768
55888041, 22193597.029870
55888042, 22193606.218686
55888043, 22193613.868481
55888044, 22193623.791692
55888045, 22193630.251352
55888046, 22193638.860580
55888047, 22193646.769774
55888048, 22193655.192477
55888049, 22193663.772255
55888050, 22193672.489472
55888051, 22193680.385449
55888052, 22193688.689215
55888053, 22193696.965795
55888054, 22193705.581442
55888055, 22193713.831214
55888056, 22193721.699251
55888057, 22193730.279406
55888058, 22193738.769319
55888059, 22193747.096495
55888060, 22193755.044956
55888061, 22193763.784828
55888062, 22193772.185632
55888063, 22193780.761256
55888064, 22193788.802225
55888065, 22193797.002911
55888066, 22193805.026134
55888067, 22193813.428826
55888068, 22193821.907034
55888069, 22193830.736392
55888070, 22193838.746400
55888071, 22193847.082637
