Frame Number, Receipt Time, Data Synchronized, Data Processed - General, Data Processed, Delivered To DataStream
55879672, 22123862.944068, 0.000160, 0.000885, 0.000046, 0.000075
55879673, 22123863.197047, 0.000203, 0.000893, 0.000051, 0.000087
55879674, 22123871.685450, 0.000338, 0.000875, 0.000045, 0.000081
55879675, 22123879.821947, 0.000185, 0.000879, 0.000047, 0.000093
55879676, 22123888.079648, 0.000193, 0.000879, 0.000047, 0.000081
55879677, 22123896.750045, 0.000363, 0.000901, 0.000051, 0.000098
55879678, 22123904.749102, 0.000168, 0.000894, 0.000045, 0.000081
55879679, 22123913.455370, 0.000457, 0.000838, 0.000046, 0.000086
55879680, 22123921.490675, 0.000164, 0.000889, 0.000044, 0.000077
55879681, 22123929.835597, 0.000194, 0.000849, 0.000047, 0.000070
55879682, 22123938.455398, 0.000459, 0.000885, 0.000043, 0.000075
55879683, 22123946.841099, 0.000368, 0.000883, 0.000050, 0.000090
55879684, 22123954.878292, 0.000168, 0.000925, 0.000047, 0.000085
55879685, 22123963.462600, 0.000463, 0.000816, 0.000046, 0.000082
55879686, 22123971.978189, 0.000166, 0.000879, 0.000048, 0.000085
55879687, 22123979.703123, 0.000176, 0.000859, 0.000045, 0.000076
55879688, 22123988.464894, 0.000421, 0.000854, 0.000049, 0.000088
55879689, 22123996.523609, 0.000179, 0.000953, 0.000055, 0.000076
55879690, 22124004.752236, 0.000151, 0.000843, 0.000042, 0.000075
55879691, 22124013.074503, 0.000194, 0.000876, 0.000050, 0.000089
55879692, 22124021.576877, 0.000242, 0.000875, 0.000057, 0.000086
55879693, 22124029.756796, 0.000193, 0.000936, 0.000048, 0.000081
55879694, 22124038.531027, 0.000446, 0.000930, 0.000045, 0.000077
55879695, 22124046.831395, 0.000363, 0.000799, 0.000045, 0.000082
55879696, 22124054.686971, 0.000158, 0.000795, 0.000043, 0.000079
55879697, 22124063.670006, 0.000267, 0.000871, 0.000047, 0.000080
55879698, 22124071.567494, 0.000202, 0.000883, 0.000048, 0.000081
55879699, 22124080.330021, 0.000419, 0.001079, 0.000050, 0.000089
55879700, 22124089.183922, 0.000453, 0.000977, 0.000048, 0.000088
55879701, 22124096.447074, 0.000162, 0.000852, 0.000051, 0.000086
55879702, 22124104.772361, 0.000152, 0.000815, 0.000045, 0.000077
55879703, 22124113.609649, 0.000460, 0.000974, 0.000048, 0.000086
55879704, 22124121.542630, 0.000197, 0.000887, 0.000045, 0.000081
55879705, 22124129.776166, 0.000163, 0.000868, 0.000045, 0.000073
55879706, 22124138.473371, 0.000391, 0.000953, 0.000047, 0.000091
55879707, 22124146.447130, 0.000174, 0.000890, 0.000046, 0.000073
55879708, 22124155.319911, 0.000406, 0.000974, 0.000041, 0.000064
55879709, 22124163.494544, 0.000408, 0.000949, 0.000050, 0.000086
55879710, 22124172.120008, 0.000317, 0.000927, 0.000047, 0.000079
55879711, 22124180.331644, 0.000166, 0.000910, 0.000048, 0.000083
55879712, 22124190.062289, 0.000314, 0.000884, 0.000047, 0.000080
55879713, 22124196.381488, 0.000178, 0.000886, 0.000051, 0.000091
55879714, 22124204.583307, 0.000170, 0.000832, 0.000040, 0.000070
55879715, 22124213.706801, 0.000454, 0.001028, 0.000052, 0.000092
55879716, 22124223.458968, 0.000170, 0.000912, 0.000047, 0.000084
55879717, 22124229.880114, 0.000186, 0.000938, 0.000048, 0.000086
55879718, 22124238.122334, 0.000164, 0.000888, 0.000047, 0.000079
55879719, 22124246.379279, 0.000178, 0.000921, 0.000051, 0.000091
55879720, 22124254.520307, 0.000153, 0.000791, 0.000040, 0.000073
55879721, 22124263.559978, 0.000424, 0.000994, 0.000048, 0.000094
55879722, 22124271.745184, 0.000166, 0.000902, 0.000046, 0.000077
55879723, 22124280.492985, 0.000495, 0.001129, 0.000048, 0.000080
55879724, 22124288.934945, 0.000439, 0.000885, 0.000047, 0.000078
55879725, 22124296.901908, 0.000369, 0.000866, 0.000049, 0.000084
55879726, 22124304.862075, 0.000155, 0.000768, 0.000040, 0.000070
55879727, 22124313.635174, 0.000427, 0.000950, 0.000051, 0.000091
55879728, 22124321.670857, 0.000170, 0.000807, 0.000045, 0.000079
55879729, 22124329.951590, 0.000179, 0.000881, 0.000046, 0.000082
55879730, 22124338.212311, 0.000282, 0.000896, 0.000045, 0.000068
55879731, 22124346.710531, 0.000180, 0.000902, 0.000048, 0.000085
55879732, 22124355.827984, 0.000439, 0.001049, 0.000043, 0.000076
55879733, 22124363.381873, 0.000411, 0.000838, 0.000045, 0.000078
55879734, 22124371.496848, 0.000171, 0.000856, 0.000050, 0.000083
55879735, 22124379.797971, 0.000165, 0.000863, 0.000050, 0.000089
55879736, 22124388.135341, 0.000167, 0.000822, 0.000043, 0.000079
55879737, 22124396.452700, 0.000152, 0.000828, 0.000042, 0.000086
55879738, 22124404.921846, 0.000167, 0.000867, 0.000049, 0.000086
55879739, 22124413.175771, 0.000179, 0.000967, 0.000052, 0.000091
55879740, 22124421.488598, 0.000157, 0.000779, 0.000043, 0.000079
55879741, 22124429.935090, 0.000173, 0.000898, 0.000048, 0.000083
55879742, 22124438.294737, 0.000175, 0.000843, 0.000042, 0.000078
55879743, 22124446.492025, 0.000165, 0.000818, 0.000051, 0.000082
55879744, 22124455.159023, 0.000178, 0.000942, 0.000051, 0.000083
55879745, 22124463.227934, 0.000191, 0.000889, 0.000047, 0.000089
55879746, 22124471.531322, 0.000154, 0.000838, 0.000044, 0.000076
55879747, 22124479.889459, 0.000199, 0.000897, 0.000048, 0.000092
55879748, 22124488.553437, 0.000434, 0.000885, 0.000042, 0.000071
55879749, 22124496.603468, 0.000280, 0.000814, 0.000044, 0.000077
55879750, 22124505.882526, 0.000473, 0.001021, 0.000048, 0.000085
55879751, 22124513.880073, 0.000501, 0.000898, 0.000045, 0.000076
55879752, 22124522.034316, 0.000401, 0.000911, 0.000046, 0.000079
55879753, 22124529.982400, 0.000181, 0.000902, 0.000049, 0.000085
55879754, 22124538.536880, 0.000447, 0.000927, 0.000048, 0.000084
55879755, 22124546.549153, 0.000159, 0.000823, 0.000045, 0.000073
55879756, 22124554.979786, 0.000191, 0.000875, 0.000047, 0.000081
55879757, 22124563.584106, 0.000301, 0.000821, 0.000045, 0.000076
55879758, 22124572.167659, 0.000299, 0.000892, 0.000047, 0.000081
55879759, 22124579.959425, 0.000171, 0.000891, 0.000048, 0.000077
55879760, 22124588.070246, 0.000173, 0.000856, 0.000044, 0.000074
55879761, 22124596.617552, 0.000198, 0.000868, 0.000048, 0.000077
55879762, 22124605.610781, 0.000504, 0.001202, 0.000048, 0.000084
55879763, 22124613.598511, 0.000478, 0.000862, 0.000047, 0.000082
55879764, 22124621.619090, 0.000278, 0.000870, 0.000047, 0.000081
55879765, 22124630.408803, 0.000432, 0.001110, 0.000050, 0.000093
55879766, 22124638.405217, 0.000379, 0.000870, 0.000045, 0.000082
55879767, 22124647.008027, 0.000314, 0.000838, 0.000044, 0.000082
55879768, 22124656.045056, 0.000455, 0.001187, 0.000046, 0.000081
55879769, 22124663.748089, 0.000419, 0.000885, 0.000047, 0.000091
55879770, 22124671.891383, 0.000253, 0.000898, 0.000045, 0.000096
55879771, 22124680.033166, 0.000208, 0.000939, 0.000047, 0.000081
55879772, 22124688.309368, 0.000177, 0.000882, 0.000049, 0.000086
55879773, 22124696.773606, 0.000226, 0.000866, 0.000047, 0.000086
55879774, 22124704.872723, 0.000185, 0.000906, 0.000046, 0.000081
55879775, 22124713.615993, 0.000436, 0.000925, 0.000052, 0.000093
55879776, 22124721.917493, 0.000169, 0.000884, 0.000046, 0.000080
55879777, 22124730.127996, 0.000189, 0.000895, 0.000044, 0.000078
55879778, 22124738.486511, 0.000411, 0.000880, 0.000041, 0.000074
55879779, 22124746.633202, 0.000293, 0.000831, 0.000044, 0.000081
55879780, 22124754.898455, 0.000165, 0.000890, 0.000045, 0.000081
55879781, 22124763.665890, 0.000414, 0.000971, 0.000047, 0.000081
55879782, 22124772.061408, 0.000362, 0.000879, 0.000048, 0.000082
55879783, 22124779.978908, 0.000169, 0.000900, 0.000043, 0.000068
55879784, 22124788.017611, 0.000154, 0.000820, 0.000044, 0.000066
55879785, 22124796.983277, 0.000379, 0.000912, 0.000047, 0.000082
55879786, 22124804.988753, 0.000169, 0.000902, 0.000046, 0.000081
55879787, 22124813.562489, 0.000287, 0.000921, 0.000050, 0.000089
55879788, 22124821.882869, 0.000318, 0.000813, 0.000045, 0.000086
55879789, 22124830.065053, 0.000168, 0.000810, 0.000047, 0.000089
55879790, 22124839.086978, 0.000418, 0.000835, 0.000043, 0.000081
55879791, 22124846.391664, 0.000222, 0.000806, 0.000043, 0.000085
55879792, 22124855.392444, 0.000426, 0.001097, 0.000048, 0.000088
55879793, 22124863.527431, 0.000411, 0.000999, 0.000048, 0.000078
55879794, 22124871.537438, 0.000251, 0.000924, 0.000047, 0.000073
55879795, 22124880.012626, 0.000175, 0.000935, 0.000048, 0.000094
55879796, 22124888.448545, 0.000422, 0.000778, 0.000041, 0.000075
55879797, 22124897.081561, 0.000397, 0.000927, 0.000047, 0.000083
55879798, 22124905.364560, 0.000453, 0.001064, 0.000046, 0.000081
55879799, 22124914.583582, 0.000443, 0.000989, 0.000049, 0.000083
55879800, 22124921.987572, 0.000378, 0.000922, 0.000047, 0.000080
55879801, 22124929.860140, 0.000168, 0.000924, 0.000050, 0.000086
55879802, 22124938.153711, 0.000151, 0.000793, 0.000042, 0.000074
55879803, 22124946.459742, 0.000222, 0.000907, 0.000047, 0.000076
55879804, 22124954.729525, 0.000170, 0.000874, 0.000046, 0.000078
55879805, 22124963.304016, 0.000164, 0.000887, 0.000051, 0.000093
55879806, 22124972.298378, 0.000182, 0.000898, 0.000047, 0.000081
55879807, 22124979.838674, 0.000170, 0.000918, 0.000049, 0.000087
55879808, 22124988.257224, 0.000412, 0.000774, 0.000040, 0.000071
55879809, 22124996.486984, 0.000209, 0.000821, 0.000046, 0.000082
55879810, 22125005.323139, 0.000464, 0.001021, 0.000049, 0.000080
55879811, 22125013.344852, 0.000170, 0.000931, 0.000050, 0.000089
55879812, 22125021.736594, 0.000248, 0.000902, 0.000046, 0.000083
55879813, 22125030.010908, 0.000183, 0.000928, 0.000052, 0.000092
55879814, 22125038.635617, 0.000353, 0.000870, 0.000045, 0.000083
55879815, 22125048.528622, 0.000366, 0.000911, 0.000050, 0.000081
55879816, 22125054.781367, 0.000165, 0.000861, 0.000045, 0.000075
55879817, 22125063.539363, 0.000355, 0.000901, 0.000051, 0.000079
55879818, 22125072.204473, 0.000180, 0.000896, 0.000045, 0.000078
55879819, 22125080.764617, 0.000421, 0.001191, 0.000052, 0.000096
55879820, 22125088.469916, 0.000471, 0.000775, 0.000040, 0.000070
55879821, 22125096.630956, 0.000178, 0.000927, 0.000055, 0.000096
55879822, 22125104.778403, 0.000175, 0.000867, 0.000042, 0.000073
55879823, 22125113.141071, 0.000187, 0.000880, 0.000051, 0.000088
55879824, 22125122.085214, 0.000178, 0.000920, 0.000045, 0.000078
55879825, 22125129.890573, 0.000176, 0.000915, 0.000051, 0.000096
55879826, 22125138.414468, 0.000400, 0.000796, 0.000042, 0.000068
55879827, 22125146.540015, 0.000177, 0.000903, 0.000050, 0.000086
